"sep=,"
Card Type,Quantity,Card Name,Level,Type,Min Price (AVG)
Monster,1,Darksea Float,1,Machine/ Effect,0.02
Monster,3,Darksea Rescue,1,Machine/ Effect,0.02
Monster,1,Black Salvo,3,Machine/ Effect/Tuner,0.60
Monster,1,Spell Reactor ・RE,3,Machine/ Effect,0.05
Monster,1,Trap Reactor ・Y FI,4,Machine/ Effect,0.10
Monster,1,Summon Reactor ・SK,5,Machine/ Effect,0.03
Monster,1,Flying Fortress SKY FIRE,8,Machine/ Effect,0.02
Monster,1,Earthbound Immortal Chacu Challhua,10,Fish/ Effect,0.05
Spell,1,Nobleman of Crossout,,,0.18
Spell,1,Star Blast,,,0.06
Trap,1,Fake Explosion,,,0.02
Trap,1,Hidden Soldiers,,,4.99
Extra Deck,1,Dark Strike Fighter,7,Machine/ Effect/ Synchro,0.73
Extra Deck,1,Dark Flattop,8,Machine/ Effect/ Synchro,0.03
