"sep=,"
Card Type,Quantity,Card Name,Level,Type,Min Price (MARKET)
Monster,1,Blackwing - Jetstream the Blue Sky,1,Winged Beast/ Effect,2.20
Monster,1,Blackwing - Oroshi the Squall,1,Winged Beast/ Effect/Tuner,0.26
Monster,1,Blackwing - Blizzard the Far North,2,Winged Beast/ Effect/Tuner,0.37
Monster,1,Blackwing - Gust the Backblast,2,Winged Beast/ Effect,0.20
Monster,1,Blackwing - Harmattan the Dust,2,Winged Beast/ Effect,0.75
Monster,1,Blackwing - Gale the Whirlwind,3,Winged Beast/ Effect/Tuner,0.29
Monster,1,Blackwing - Gladius the Midnight Sun,3,Winged Beast/ Effect,0.49
Monster,1,Blackwing - Bora the Spear,4,Winged Beast/ Effect,0.33
Monster,1,Blackwing - Calima the Haze,4,Winged Beast/ Effect,0.17
Monster,1,Blackwing - Decay the Ill Wind,4,Winged Beast/ Effect/Tuner,0.15
Monster,1,Blackwing - Kochi the Daybreak,4,Winged Beast/ Effect/Tuner,0.31
Monster,1,Blackwing - Tornado the Reverse Wind,4,Winged Beast/ Effect,0.09
Monster,1,Assault Blackwing - Kunai the Drizzle,5,Winged Beast/ Effect,0.64
Monster,1,Blackwing - Gofu the Vague Shadow,5,Winged Beast/ Effect/Tuner,0.21
Spell,1,Against the Wind,,,0.39
Extra Deck,1,Assault Blackwing - Sayo the Rain Hider,2,Winged Beast/ Effect/ Synchro,0.25
Extra Deck,2,Assault Blackwing - Sohaya the Rain Storm,5,Winged Beast/ Effect/ Synchro,0.12
Extra Deck,1,Assault Blackwing - Chidori the Rain Sprinkling,7,Winged Beast/ Effect/ Synchro,0.64
Extra Deck,1,Assault Blackwing - Raikiri the Rain Shower,7,Winged Beast/ Effect/ Synchro,3.44
Extra Deck,1,Assault Blackwing - Onimaru the Divine Thunder,12,Winged Beast/ Effect/ Synchro,0.57
