"sep=,"
Card Type,Quantity,Card Name,Level,Type,Min Price (AVG)
Monster,1,Blackwing - Hurricane the Tornado,1,Winged Beast/ Effect/Tuner,0.08
Monster,1,Blackwing - Oroshi the Squall,1,Winged Beast/ Effect/Tuner,0.12
Monster,1,Blackwing - Vayu the Emblem of Honor,1,Winged Beast/ Effect/Tuner,1.70
Monster,1,Blackwing - Blizzard the Far North,2,Winged Beast/ Effect/Tuner,0.05
Monster,1,Blackwing - Fane the Steel Chain,2,Winged Beast/ Effect,0.08
Monster,1,Blackwing - Mistral the Silver Shield,2,Winged Beast/ Effect/Tuner,0.02
Monster,1,Blackwing - Etesian of Two Swords,3,Winged Beast/ Effect,0.20
Monster,1,Blackwing - Gale the Whirlwind,3,Winged Beast/ Effect/Tuner,0.16
Monster,1,Blackwing - Ghibli the Searing Wind,3,Winged Beast/ Effect,0.05
Monster,1,Blackwing - Kalut the Moon Shadow,3,Winged Beast/ Effect,0.24
Monster,1,Blackwing - Steam the Cloak,3,Winged Beast/ Effect/Tuner,0.49
Monster,2,Blackwing - Bora the Spear,4,Winged Beast/ Effect,0.05
Monster,1,Blackwing - Calima the Haze,4,Winged Beast/ Effect,0.18
Monster,1,Blackwing - Kochi the Daybreak,4,Winged Beast/ Effect/Tuner,0.20
Monster,1,Blackwing - Shura the Blue Flame,4,Winged Beast/ Effect,0.05
Monster,1,Blackwing - Zephyros the Elite,4,Winged Beast/ Effect,0.10
Monster,1,Blackwing - Boreas the Sharp,5,Winged Beast/ Effect,0.28
Monster,1,Blackwing - Brisote the Tailwind,5,Winged Beast/ Effect,0.14
Monster,1,Blackwing - Hillen the Tengu-wind,5,Winged Beast/ Effect/Tuner,0.10
Monster,1,Blackwing - Sirocco the Dawn,5,Winged Beast/ Effect,0.05
Monster,1,Blackwing - Elphin the Raven,6,Winged Beast/ Effect,0.02
Monster,1,Blackwing - Kogarashi the Wanderer,6,Winged Beast/ Effect/Tuner,0.50
Monster,1,Blackwing - Abrolhos the Megaquake,7,Winged Beast/ Effect,0.38
Monster,1,Blackwing - Aurora the Northern Lights,10,Winged Beast/ Effect,0.35
Spell,1,Black-Winged Strafe,,,0.02
Spell,1,Cards for Black Feathers,,,0.06
Spell,1,De-Synchro,,,0.02
Spell,1,Reload,,,0.03
Trap,1,Black Feather Beacon,,,0.20
Trap,1,Black Return,,,0.79
Trap,1,Black Sonic,,,0.19
Trap,1,Black Thunder,,,0.02
Trap,1,Black Wing Revenge,,,0.15
Trap,1,Blackback,,,0.99
Trap,1,Blackboost,,,0.02
Trap,1,Blackwing - Backlash,,,0.02
Trap,1,Blackwing - Boobytrap,,,0.10
Trap,1,Defenders Intersect,,,0.02
Trap,1,Delta Crow - Anti Reverse,,,0.02
Trap,1,Dust Tornado,,,0.02
Trap,1,Ebon Arrow,,,0.02
Trap,1,Fake Feather,,,0.02
Trap,1,Gravity Collapse,,,0.08
Trap,1,Level Retuner,,,0.02
Trap,1,Mirror Force,,,0.02
Trap,1,Shadow Impulse,,,0.02
Trap,1,Trap Stun,,,0.09
Trap,1,Urgent Tuning,,,0.04
Extra Deck,1,Blackwing Armed Wing,6,Winged Beast/ Effect/ Synchro,0.42
Extra Deck,1,Blackwing Armor Master,7,Winged Beast/ Effect/ Synchro,2.80
Extra Deck,1,Blackwing - Silverwind the Ascendant,8,Winged Beast/ Effect/ Synchro,8.10
Extra Deck,1,Black-Winged Dragon,8,Dragon/ Effect/ Synchro,1.00
