"sep=,"
Card Type,Quantity,Card Name,Level,Type,Min Price (AVG)
Monster,1,White Magician Pikeru,2,Spellcaster/ Effect,0.03
Monster,1,Carboneddon,3,Dinosaur/ Effect,0.02
Monster,1,Mathematician,3,Spellcaster/ Effect,0.04
Monster,3,Hydrogeddon,4,Dinosaur/ Effect,0.03
Monster,1,Oxygeddon,4,Dinosaur/ Effect,0.02
Monster,1,Vorse Raider,4,Beast/Warrior/ Normal,0.02
Monster,2,Litmus Doom Swordsman,8,Warrior/ Effect/ Ritual,0.19
Monster,1,Water Dragon,8,Sea Serpent/ Effect,0.05
Spell,1,A Wingbeat of Giant Dragon,,,0.02
Spell,2,Bonding - H2O,,,0.02
Spell,1,Double Spell,,,0.04
Spell,1,Litmus Doom Ritual,,,0.05
Spell,1,Living Fossil,,,0.02
Spell,1,Pot of Greed,,,0.70
Trap,1,Cursed Seal of the Forbidden Spell,,,0.10
Trap,1,Magic Cylinder,,,0.05
Trap,1,Ring of Destruction,,,0.38
Trap,1,Spirit Barrier,,,1.85
