"sep=,"
Card Type,Quantity,Card Name,Level,Type,Min Price (MARKET)
Monster,1,Heroic Challenger - Ambush Soldier,1,Warrior/ Effect,0.46
Monster,1,Heroic Challenger - Clasp Sword,1,Warrior/ Effect,0.37
Monster,1,Blade Bounzer,4,Warrior/ Effect,0.14
Monster,1,Heroic Challenger - Double Lance,4,Warrior/ Effect,0.33
Monster,1,Heroic Challenger - Extra Sword,4,Warrior/ Effect,0.25
Monster,1,Heroic Challenger - Night Watchman,4,Warrior/ Effect,0.16
Monster,3,Heroic Challenger - Spartan,4,Warrior/ Effect,0.19
Monster,1,Heroic Challenger - Swordshield,4,Warrior/ Effect,0.22
Monster,1,Hammer Bounzer,6,Warrior/ Effect,0.26
Monster,1,Heroic Challenger - War Hammer,6,Warrior/ Effect,0.21
Monster,1,Phantom Bounzer,6,Warrior/ Effect,0.09
Spell,1,Heroic Call,,,0.10
Spell,1,Heroic Chance,,,0.23
Spell,1,"Rank-Up-Magic Barian's Force",,,0.34
Spell,1,Riryoku,,,0.15
Spell,1,Stoic Challenge,,,0.18
Trap,1,Bounzer Guard,,,0.09
Trap,1,Copy Knight,,,0.12
Trap,1,Heroic Advance,,,0.18
Trap,1,Heroic Gift,,,0.18
Trap,1,Heroic Retribution Sword,,,0.20
Trap,1,Sakuretsu Armor,,,0.38
Trap,1,Xyz Xtreme !!,,,0.19
Extra Deck,1,Number 54: Lion Heart,1,Warrior/ Effect/ Xyz,0.23
Extra Deck,1,Heroic Champion - Excalibur,4,Warrior/ Effect/ Xyz,0.14
Extra Deck,1,Heroic Champion - Gandiva,4,Warrior/ Effect/ Xyz,0.15
Extra Deck,1,Heroic Champion - Kusanagi,4,Warrior/ Effect/ Xyz,1.79
Extra Deck,1,Photon Strike Bounzer,6,Warrior/ Effect/ Xyz,0.46
