"sep=,"
Card Type,Quantity,Card Name,Level,Type,Min Price (MARKET)
Monster,1,Baby Raccoon Ponpoko,2,Beast/ Effect,0.17
Monster,1,Baby Raccoon Tantan,2,Beast/ Effect,0.18
Monster,1,Number 64: Ronin Raccoon Sandayu,2,Beast/ Effect/ Xyz,1.69
Monster,1,The Judgement Hand,3,Warrior/ Normal,4.28
Monster,1,Fire Hand,4,Pyro/ Effect,0.20
Monster,1,Ice Hand,4,Aqua/ Effect,0.21
Monster,1,Magic Hand,4,Spellcaster/ Effect,0.15
Monster,1,Prominence Hand,4,Pyro/ Effect,0.14
Spell,1,Rank-Up-Magic - The Seventh One,,,0.10
Spell,1,"Rank-Up-Magic Barian's Force",,,0.34
Spell,1,Reload,,,0.33
Extra Deck,1,Number 106: Giant Hand,4,Rock/ Effect/ Xyz,0.51
Extra Deck,1,Number 58: Burner Visor,4,Pyro/ Effect/ Xyz,0.24
Extra Deck,1,Number C106: Giant Red Hand,5,Rock/ Effect/ Xyz,0.25
