"sep=,"
Card Type,Quantity,Card Name,Level,Type,Min Price (MARKET)
Monster,1,Superheavy Samurai Blowtorch,1,Machine/ Effect,0.11
Monster,1,Superheavy Samurai Drum,1,Machine/ Effect/Tuner,0.19
Monster,1,Superheavy Samurai General Coral,1,Machine/ Effect/Pendulum,0.22
Monster,1,Superheavy Samurai Helper,1,Machine/ Effect,0.25
Monster,1,Superheavy Samurai Soulbeads,1,Machine/ Effect,0.18
Monster,1,Superheavy Samurai Soulbreaker Armor,1,Machine/ Effect,0.19
Monster,1,Superheavy Samurai Soulbuster Gauntlet,1,Machine/ Effect,0.19
Monster,1,Superheavy Samurai Soulhorns,1,Machine/ Effect,1.29
Monster,1,Superheavy Samurai Battleball,2,Machine/ Effect/Tuner,0.85
Monster,1,Superheavy Samurai Fist,2,Machine/ Effect/Tuner,0.39
Monster,1,Superheavy Samurai Soulclaw,2,Machine/ Effect,0.38
Monster,1,Superheavy Samurai Soulfire Suit,2,Machine/ Effect,0.10
Monster,1,Superheavy Samurai Trumpeter,2,Machine/ Effect/Tuner,0.77
Monster,1,Superheavy Samurai Flutist,3,Machine/ Effect,0.84
Monster,1,Superheavy Samurai Gigagloves,3,Machine/ Effect,0.04
Monster,1,Superheavy Samurai Prepped Defense,3,Machine/ Effect,0.12
Monster,1,Superheavy Samurai Soulbang Cannon,3,Machine/ Effect,0.14
Monster,1,Superheavy Samurai Soulshield Wall,3,Machine/ Effect,0.11
Monster,1,Superheavy Samurai Swordsman,3,Machine/ Effect,0.14
Monster,1,Superheavy Samurai Blue Brawler,4,Machine/ Effect,0.15
Monster,1,Superheavy Samurai Kabuto,4,Machine/ Effect,0.07
Monster,2,Superheavy Samurai Magnet,4,Machine/ Effect,0.15
Monster,1,Superheavy Samurai Scales,4,Machine/ Effect,1.44
Monster,1,Superheavy Samurai Soulpiercer,4,Machine/ Effect,0.52
Monster,1,Superheavy Samurai Big Waraji,5,Machine/ Effect,0.14
Monster,1,Superheavy Samurai Transporter,5,Machine/ Effect,0.19
Monster,1,Superheavy Samurai Big Benkei,8,Machine/ Effect,0.36
Monster,1,Superheavy Samurai General Jade,8,Machine/ Effect/Pendulum,0.12
Monster,2,Superheavy Samurai Thief,10,Machine/ Effect,0.42
Extra Deck,1,Superheavy Samurai Ogre Shutendoji,6,Machine/ Effect/ Synchro,1.34
Extra Deck,1,Superheavy Samurai Stealth Ninja,7,Machine/ Effect/ Synchro,0.36
Extra Deck,1,Superheavy Samurai Ninja Sarutobi,8,Machine/ Effect/ Synchro,0.38
Extra Deck,1,Superheavy Samurai Beast Kyubi,9,Machine/ Effect/ Synchro,0.27
Extra Deck,1,Superheavy Samurai Warlord Susanowo,10,Machine/ Effect/ Synchro,0.90
Extra Deck,1,Superheavy Samurai Steam Train King,12,Machine/ Effect/ Synchro,0.49
