"sep=,"
Card Type,Quantity,Card Name,Level,Type,Min Price (AVG)
Monster,1,Relinquished,1,Spellcaster/ Effect/ Ritual,0.02
Monster,1,Thousand-Eyes Idol,1,Spellcaster/ Normal,0.02
Monster,1,Dark-Eyes Illusionist,2,Spellcaster/ Effect,0.35
Monster,1,Jigen Bakudan,2,Pyro/ Effect/Flip,0.04
Monster,1,Dragon Piper,3,Pyro/ Effect/Flip,0.02
Monster,1,Dark Rabbit,4,Beast/ Normal,0.02
Monster,1,Flying Elephant,4,Beast/ Effect,0.02
Monster,1,Killer Needle,4,Insect/ Normal,0.05
Monster,1,Manju of the Ten Thousand Hands,4,Fairy/ Effect,0.10
Monster,1,Red Archery Girl,4,Aqua/ Normal,0.05
Monster,1,Toon Alligator,4,Reptile/ Normal,0.04
Monster,1,Toon Cannon Soldier,4,Machine/ Effect/Toon,0.99
Monster,3,Toon Gemini Elf,4,Spellcaster/ Effect/Toon,0.06
Monster,3,Toon Goblin Attack Force,4,Warrior/ Effect/Toon,0.50
Monster,2,Toon Masked Sorcerer,4,Spellcaster/ Effect/Toon,0.25
Monster,1,Toon Mermaid,4,Aqua/ Effect/Toon,0.02
Monster,1,Illusionist Faceless Mage,5,Spellcaster/ Normal,0.03
Monster,1,Parrot Dragon,5,Dragon/ Normal,0.15
Monster,1,Toon Dark Magician Girl,6,Spellcaster/ Effect/Toon,0.08
Monster,1,Toon Summoned Skull,6,Fiend/ Effect/Toon,0.06
Monster,2,Manga Ryu-Ran,7,Dragon/ Effect/Toon,0.02
Monster,1,Ryu-Ran,7,Dragon/ Normal,0.02
Monster,1,Blue-Eyes Toon Dragon,8,Dragon/ Effect/Toon,0.95
Monster,1,Toon Ancient Gear Golem,8,Machine/ Effect/Toon,0.09
Spell,1,Black Illusion Ritual,,,0.10
Spell,1,Card of Sanctity,,,0.05
Spell,1,Comic Hand,,,1.84
Spell,1,Cost Down,,,0.02
Spell,1,Fissure,,,0.02
Spell,1,Heavy Storm,,,0.02
Spell,1,Mimicat,,,0.38
Spell,1,Monster Reborn,,,0.02
Spell,1,Polymerization,,,0.02
Spell,1,Premature Burial,,,0.05
Spell,1,Shadow Toon,,,0.49
Spell,1,Shine Palace,,,0.02
Spell,1,Snatch Steal,,,0.56
Spell,1,Toon Kingdom,,,8.50
Spell,1,Toon Rollback,,,0.20
Spell,3,Toon Table of Contents,,,0.84
Spell,2,Toon World,,,0.02
Trap,1,Dragon Capture Jar,,,0.10
Trap,1,"Gorgon's Eye",,,0.05
Trap,2,Jar of Greed,,,0.60
Trap,1,Solemn Judgment,,,0.75
Trap,1,Toon Defense,,,0.02
Trap,1,Toon Mask,,,0.30
Trap,1,Ultimate Offering,,,0.13
Extra Deck,1,Thousand-Eyes Restrict,1,Spellcaster/ Effect/ Fusion,0.30
Extra Deck,1,Bickuribox,7,Fiend/ Fusion,0.05
