"sep=,"
Card Type,Quantity,Card Name,Level,Type,Min Price (MARKET)
Monster,1,Gimmick Puppet Gear Changer,1,Machine/ Effect,0.51
Monster,1,Gimmick Puppet Des Troy,4,Machine/ Effect,0.19
Monster,1,Gimmick Puppet Egg Head,4,Machine/ Effect,1.01
Monster,1,Gimmick Puppet Humpty Dumpty,4,Machine/ Effect,0.32
Monster,1,Gimmick Puppet Scissor Arms,4,Machine/ Effect,3.37
Monster,2,Gimmick Puppet Dreary Doll,8,Machine/ Effect,0.95
Monster,1,Gimmick Puppet Magnet Doll,8,Machine/ Effect,1.12
Monster,1,Gimmick Puppet Nightmare,8,Machine/ Effect,0.45
Monster,1,Gimmick Puppet Shadow Feeler,8,Machine/ Effect,0.48
Monster,1,Gimmick Puppet Twilight Joker,8,Machine/ Effect,0.37
Spell,1,Junk Puppet,,,0.61
Spell,1,Puppet Ritual,,,0.32
Spell,1,Rank-Up-Magic Argent Chaos Force,,,0.22
Trap,1,Xyz Effect,,,0.16
Extra Deck,1,Number 15: Gimmick Puppet Giant Grinder,8,Machine/ Effect/ Xyz,0.64
Extra Deck,1,Number 40: Gimmick Puppet of Strings,8,Machine/ Effect/ Xyz,0.50
Extra Deck,1,Number 88: Gimmick Puppet of Leo,8,Machine/ Effect/ Xyz,1.28
Extra Deck,1,Number C15: Gimmick Puppet Giant Hunter,9,Machine/ Effect/ Xyz,0.25
Extra Deck,1,Number C40: Gimmick Puppet of Dark Strings,9,Machine/ Effect/ Xyz,0.17
Extra Deck,1,Number C88: Gimmick Puppet Disaster Leo,9,Machine/ Effect/ Xyz,0.21
