"sep=,"
Card Type,Quantity,Card Name,Level,Type,Min Price (AVG)
Monster,1,Weeping Idol,2,Rock/ Effect,0.02
Monster,1,Fire Ant Ascator,3,Insect/ Effect/Tuner,0.02
Monster,1,Oracle of the Sun,5,Spellcaster/ Effect,0.05
Monster,1,Earthbound Immortal Wiraqocha Rasca,10,Winged Beast/ Effect,0.02
Trap,1,Destruct Potion,,,0.10
Trap,1,Divine Wrath,,,0.02
Trap,1,Meteor Flare,,,0.09
Trap,1,Mirror Force,,,0.02
Trap,1,Offering to the Immortals,,,0.02
Trap,1,Solemn Judgment,,,0.63
Extra Deck,1,Moon Dragon Quilla,6,Dragon/ Effect/ Synchro,0.10
Extra Deck,1,Sun Dragon Inti,8,Dragon/ Effect/ Synchro,0.02
