"sep=,"
Card Type,Quantity,Card Name,Level,Type,Min Price (MARKET)
Monster,1,Aurora Wing,4,Winged Beast/ Effect,0.19
Monster,1,Blizzard Falcon,4,Winged Beast/ Effect,0.16
Monster,1,Blizzard Thunderbird,4,Winged Beast/ Effect,0.10
Monster,1,Guard Penguin,4,Winged Beast/ Effect,0.24
Spell,1,Monster Reborn,,,0.26
Spell,1,Rank-Up-Magic - The Seventh One,,,0.09
Trap,1,Diamond Dust,,,0.32
Trap,1,Mirror Force,,,0.42
Extra Deck,1,Ice Beast Zerofyne,4,Winged Beast/ Effect/ Xyz,0.55
Extra Deck,1,Number 103: Ragnazero,4,Fairy/ Effect/ Xyz,2.20
Extra Deck,1,Ice Princess Zereort,5,Winged Beast/ Effect/ Xyz,0.06
Extra Deck,1,Number C103: Ragnafinity,5,Fairy/ Effect/ Xyz,0.64
