"sep=,"
Card Type,Quantity,Card Name,Level,Type,Min Price (MARKET)
Monster,1,Fusion Parasite,1,Insect/ Effect,0.84
Monster,1,Lunalight Black Sheep,2,Beast/Warrior/ Effect,0.40
Monster,1,Lunalight White Rabbit,2,Beast/Warrior/ Effect,0.24
Monster,2,Lunalight Purple Butterfly,3,Beast/Warrior/ Effect,0.23
Monster,1,Lunalight Tiger,3,Beast/Warrior/ Effect/Pendulum,0.37
Monster,2,Lunalight Blue Cat,4,Beast/Warrior/ Effect,0.24
Monster,1,Lunalight Wolf,6,Beast/Warrior/ Effect/Pendulum,0.36
Spell,2,Polymerization,,,0.27
Trap,1,Lunalight Reincarnation Dance,,,0.30
Extra Deck,1,Lunalight Cat Dancer,7,Beast/Warrior/ Effect/ Fusion,0.24
Extra Deck,1,Lunalight Panther Dancer,8,Beast/Warrior/ Effect/ Fusion,0.25
Extra Deck,1,Lunalight Leo Dancer,10,Beast/Warrior/ Effect/ Fusion,0.25
