"sep=,"
Card Type,Quantity,Card Name,Level,Type,Min Price (AVG)
Monster,3,Sunseed Genius Loci,1,Plant/ Normal,2.52
Monster,1,Sunseed Shadow,1,Plant/ Effect,0.11
Monster,1,Sunvine Maiden,1,Plant/ Effect,0.11
Monster,1,Sunseed Twin,2,Plant/ Effect,0.32
Spell,1,Sunvine Cross Breed,,,0.02
Spell,1,Sunvine Shrine,,,0.10
Trap,1,Sunavalon Bloom,,,0.30
Extra Deck,1,Sunavalon Dryas,1,Plant/ Effect/ Link,2.81
Extra Deck,3,Sunvine Gardna,1,Plant/ Effect/ Link,0.18
Extra Deck,2,Sunvine Healer,1,Plant/ Effect/ Link,0.50
Extra Deck,3,Sunvine Thrasher,1,Plant/ Effect/ Link,1.48
Extra Deck,2,Sunavalon Daphne,2,Plant/ Effect/ Link,0.02
Extra Deck,1,Sunavalon Dryades,2,Plant/ Effect/ Link,0.10
Extra Deck,1,Sunavalon Dryanome,3,Plant/ Effect/ Link,0.10
Extra Deck,2,Sunavalon Melias,3,Plant/ Effect/ Link,0.05
Extra Deck,1,Sunavalon Dryatrentiay,4,Plant/ Effect/ Link,0.17
