"sep=,"
Card Type,Quantity,Card Name,Level,Type,Min Price (AVG)
Monster,1,Salamangreat Mole,1,Cyberse/ Effect,0.09
Monster,1,Salamangreat Raccoon,1,Cyberse/ Effect,0.10
Monster,1,Salamangreat Meer,2,Cyberse/ Effect,0.02
Monster,1,Salamangreat Foxer,3,Cyberse/ Effect,0.02
Monster,1,Salamangreat Foxy,3,Cyberse/ Effect,0.02
Monster,1,Salamangreat Gazelle,3,Cyberse/ Effect,0.02
Monster,1,Salamangreat Spinny,3,Cyberse/ Effect,0.12
Monster,1,Salamangreat Falco,4,Cyberse/ Effect,0.02
Monster,2,Salamangreat Fowl,4,Cyberse/ Effect,0.02
Monster,1,Salamangreat Jack Jaguar,4,Cyberse/ Effect,0.02
Monster,1,Salamangreat Wolvie,4,Cyberse/ Effect,0.02
Monster,1,Salamangreat Zebroid X,4,Cyberse/ Effect,0.02
Monster,1,Valkyrian Knight,4,Warrior/ Effect,0.20
Monster,1,Salamangreat Parro,5,Cyberse/ Effect,0.06
Monster,1,Phoenix Gearfried,8,Warrior/ Effect/Gemini,0.09
Monster,1,Salamangreat Beat Bison,8,Cyberse/ Effect,0.07
Monster,1,Salamangreat Emerald Eagle,8,Cyberse/ Effect/ Ritual,0.05
Spell,1,Burning Draw,,,0.05
Spell,1,Cybersal Cyclone,,,0.02
Spell,1,Fury of Fire,,,0.02
Spell,1,Fusion of Fire,,,0.24
Spell,1,Monster Reincarnation,,,0.03
Spell,1,Rise of the Salamangreat,,,0.03
Spell,1,Rising Fire,,,0.03
Spell,1,Salamangreat Burning Shell,,,0.02
Spell,1,Salamangreat Claw,,,0.02
Spell,2,Salamangreat Sanctuary,,,0.02
Spell,1,Salamangreat Transcendence,,,0.02
Spell,1,Will of the Salamangreat,,,0.02
Trap,1,Salamangreat Roar,,,0.10
Extra Deck,2,Salamangreat Balelynx,1,Cyberse/ Effect/ Link,0.13
Extra Deck,2,Salamangreat Sunlight Wolf,2,Cyberse/ Effect/ Link,0.69
Extra Deck,3,Salamangreat Heatleo,3,Cyberse/ Effect/ Link,0.02
Extra Deck,1,Salamangreat Miragestallio,3,Cyberse/ Effect/ Xyz,0.09
Extra Deck,2,Salamangreat Blaze Dragon,4,Cyberse/ Xyz/ Effect,0.29
Extra Deck,2,Salamangreat Pyro Phoenix,4,Cyberse/ Effect/ Link,4.55
Extra Deck,1,Salamangreat Violet Chimera,8,Cyberse/ Effect/ Fusion,0.17
