"sep=,"
Card Type,Quantity,Card Name,Level,Type,Min Price (MARKET)
Monster,1,Chronomaly Crystal Bones,3,Rock/ Effect,0.21
Monster,1,Chronomaly Crystal Skull,3,Rock/ Effect,0.28
Monster,1,Chronomaly Gordian Knot,3,Rock/ Effect,0.40
Monster,1,Chronomaly Mayan Machine,3,Machine/ Effect,0.13
Monster,1,Chronomaly Aztec Mask Golem,4,Rock/ Effect,0.17
Monster,1,Chronomaly Cabrera Trebuchet,4,Rock/ Effect,0.21
Monster,1,Chronomaly Colossal Head,4,Rock/ Effect,0.19
Monster,1,Chronomaly Golden Jet,4,Machine/ Effect,0.19
Monster,1,Chronomaly Mud Golem,4,Rock/ Effect,0.17
Monster,1,Chronomaly Moai,5,Rock/ Effect,0.33
Monster,1,Chronomaly Moai Carrier,5,Rock/ Effect,0.21
Monster,1,Chronomaly Tula Guardian,5,Rock/ Effect,0.37
Monster,1,Chronomaly Winged Sphinx,5,Rock/ Effect,0.05
Monster,1,Chronomaly Sol Monolith,6,Rock/ Effect,0.26
Spell,1,Chronomaly City Babylon,,,0.37
Spell,1,Chronomaly Pyramid Eye Tablet,,,0.12
Spell,1,Chronomaly Technology,,,0.20
Trap,1,Number Wall,,,0.81
Trap,1,Stonehenge Methods,,,0.18
Extra Deck,1,Chronomaly Crystal Chrononaut,3,Psychic/ Effect/ Xyz,1.53
Extra Deck,1,Number 32: Shark Drake,4,Sea Serpent/ Effect/ Xyz,0.99
Extra Deck,1,Number 33: Chronomaly Machu Mech,5,Machine/ Effect/ Xyz,12.54
Extra Deck,1,Number 6: Chronomaly Atlandis,6,Machine/ Effect/ Xyz,0.72
Extra Deck,1,Number C6: Chronomaly Chaos Atlandis,7,Machine/ Effect/ Xyz,1.20
