"sep=,"
Card Type,Quantity,Card Name,Level,Type,Min Price (MARKET)
Monster,1,The Phantom Knights of Ancient Cloak,3,Warrior/ Effect,0.12
Monster,1,The Phantom Knights of Ragged Gloves,3,Warrior/ Effect,0.13
Monster,1,The Phantom Knights of Silent Boots,3,Warrior/ Effect,0.16
Spell,1,Emergency Provisions,,,0.24
Spell,1,Mystical Space Typhoon,,,0.15
Spell,1,"The Phantom Knights' Rank-Up-Magic Launch",,,0.20
Trap,1,Booby Trap E,,,0.20
Trap,2,The Phantom Knights of Lost Vambrace,,,0.09
Trap,3,The Phantom Knights of Shadow Veil,,,0.08
Trap,1,The Phantom Knights of Wrong Magnetring,,,0.12
Extra Deck,1,The Phantom Knights of Cursed Javelin,2,Warrior/ Effect/ Xyz,0.18
Extra Deck,1,The Phantom Knights of Break Sword,3,Warrior/ Effect/ Xyz,0.16
Extra Deck,1,Dark Rebellion Xyz Dragon,4,Dragon/ Effect/ Xyz,0.68
Extra Deck,1,Dark Requiem Xyz Dragon,5,Dragon/ Effect/ Xyz,0.21
