"sep=,"
Card Type,Quantity,Card Name,Level,Type,Min Price (MARKET)
Monster,2,"Umbral Horror Will o' the Wisp",1,Fiend/ Effect,0.13
Monster,2,Umbral Horror Ghost,2,Fiend/ Effect,0.18
Monster,1,Umbral Horror Ghoul,4,Fiend/ Effect,0.10
Monster,1,Umbral Horror Unform,4,Fiend/ Effect,0.15
Spell,1,Contract with Don Thousand,,,0.24
Spell,1,"Don Thousand's Throne",,,0.20
Spell,1,Glorious Numbers,,,0.14
Spell,1,Rank-Up-Magic Admiration of the Thousands,,,0.15
Spell,1,"Rank-Up-Magic Barian's Force",,,0.35
Spell,1,Sargasso Lighthouse,,,0.22
Trap,1,Corrupted Keys,,,0.19
Trap,1,Vain Betrayer,,,0.10
Extra Deck,1,Number 43: Manipulator of Souls,2,Fiend/ Effect/ Xyz,0.29
Extra Deck,1,Number 96: Dark Mist,2,Fiend/ Effect/ Xyz,0.08
Extra Deck,1,Number C43: High Manipulator of Chaos,3,Fiend/ Effect/ Xyz,0.23
Extra Deck,1,Number C65: King Overfiend,3,Fiend/ Effect/ Xyz,0.47
Extra Deck,1,Number 104: Masquerade,4,Spellcaster/ Effect/ Xyz,0.72
Extra Deck,1,Number 66: Master Key Beetle,4,Insect/ Effect/ Xyz,0.25
Extra Deck,1,Number C102: Archfiend Seraph,5,Fairy/ Effect/ Xyz,0.49
Extra Deck,1,Number C103: Ragnafinity,5,Fairy/ Effect/ Xyz,0.64
Extra Deck,1,Number C104: Umbral Horror Masquerade,5,Spellcaster/ Effect/ Xyz,1.53
Extra Deck,1,Number C5: Chaos Chimera Dragon,6,Dragon/ Effect/ Xyz,0.17
