"sep=,"
Card Type,Quantity,Card Name,Level,Type,Min Price (AVG)
Monster,1,Acorno,1,Plant/ Effect,0.03
Monster,1,Amarylease,1,Plant/ Effect,0.09
Monster,1,Darklon,1,Fiend/ Effect,0.02
Monster,1,DZW - Chimera Clad,1,Fiend/ Effect,0.04
Monster,1,Explossum,1,Beast/ Effect,0.15
Monster,3,Kurivolt,1,Thunder/ Effect,0.13
Monster,1,Pinecono,1,Plant/ Effect,0.02
Monster,1,Rainbow Kuriboh,1,Fiend/ Effect,0.24
Monster,1,Spell Recycler,1,Spellcaster/ Effect,0.02
Monster,1,Stinging Swordsman,1,Warrior/ Effect,0.05
Monster,1,ZS - Vanish Sage,1,Warrior/ Effect,0.04
Monster,1,Bacon Saver,2,Zombie/ Effect,0.05
Monster,1,Caligo Claw Crow,2,Winged Beast/ Effect,0.10
Monster,1,Cardcar D,2,Machine/ Effect,0.02
Monster,1,Chow Chow Chan,2,Beast/ Effect,0.10
Monster,1,Flelf,2,Spellcaster/ Effect,0.02
Monster,1,Gagaga Child,2,Spellcaster/ Effect,0.03
Monster,1,Gagaga Clerk,2,Warrior/ Effect,0.89
Monster,1,Interceptomato,2,Plant/ Effect,0.02
Monster,1,Magical Undertaker,2,Spellcaster/ Effect/Flip,0.02
Monster,1,Mogmole,2,Beast/ Effect,0.05
Monster,1,Overlay Eater,2,Reptile/ Effect,0.02
Monster,1,Xyz Agent,2,Spellcaster/ Effect,0.02
Monster,1,Achacha Archer,3,Warrior/ Effect,0.02
Monster,1,Achacha Chanbara,3,Warrior/ Effect,0.12
Monster,1,Bachibachibachi,3,Insect/ Effect,0.13
Monster,1,Bite Bug,3,Insect/ Effect,0.11
Monster,1,Crane Crane,3,Winged Beast/ Effect,0.02
Monster,1,Damage Mage,3,Spellcaster/ Effect,0.03
Monster,1,Dotedotengu,3,Fiend/ Effect,0.02
Monster,1,Gagaga Caesar,3,Warrior/ Effect,0.12
Monster,1,Gagaga Girl,3,Spellcaster/ Effect,0.32
Monster,1,Mimimic,3,Machine/ Effect,0.04
Monster,1,Rai Rider,3,Thunder/ Effect,0.02
Monster,1,Zubaba Buster,3,Warrior/ Effect,0.02
Monster,1,Zubaba Knight,3,Warrior/ Effect,0.02
Monster,1,ZW - Phoenix Bow,3,Winged Beast/ Effect,0.26
Monster,1,Bull Blader,4,Warrior/ Effect,0.05
Monster,1,Dododo Bot,4,Machine/ Effect,0.05
Monster,1,Doggy Diver,4,Warrior/ Effect,0.02
Monster,1,Gagaga Gardna,4,Warrior/ Effect,0.05
Monster,2,Gagaga Magician,4,Spellcaster/ Effect,0.02
Monster,2,Ganbara Knight,4,Warrior/ Effect,0.14
Monster,1,Goblindbergh,4,Warrior/ Effect,0.10
Monster,1,Gogogo Ghost,4,Zombie/ Effect,0.15
Monster,1,Gogogo Giant,4,Rock/ Effect,0.02
Monster,1,Gogogo Gigas,4,Rock/ Effect,0.02
Monster,1,Gogogo Golem,4,Rock/ Effect,0.02
Monster,1,Gogogo Golem - Golden Form,4,Rock/ Effect,0.15
Monster,1,Grandram,4,Rock/ Effect,0.15
Monster,1,Kagetokage,4,Reptile/ Effect,0.02
Monster,1,Overlay Owl,4,Winged Beast/ Effect,0.02
Monster,1,Tasuke Knight,4,Warrior/ Effect,0.02
Monster,1,Tatakawa Knight,4,Warrior/ Effect,0.02
Monster,2,Toy Knight,4,Machine/ Effect,0.02
Monster,1,V Salamander,4,Spellcaster/ Effect,0.02
Monster,1,ZW - Asura Strike,4,Fairy/ Effect,0.45
Monster,1,ZW - Sleipnir Mail,4,Beast/ Effect,0.02
Monster,1,ZW - Sylphid Wing,4,Beast/ Effect,0.02
Monster,1,ZW - Ultimate Shield,4,Aqua/ Effect,0.02
Monster,1,ZW - Unicorn Spear,4,Beast/ Effect,0.02
Monster,1,Ganbara Lancer,5,Warrior/ Effect,0.19
Monster,1,ZW - Eagle Claw,5,Winged Beast/ Effect,0.02
Monster,1,ZW - Lightning Blade,5,Beast/ Effect,1.49
Monster,1,ZW - Tornado Bringer,5,Dragon/ Effect,0.05
Monster,1,Chachaka Archer,6,Warrior/ Effect,0.02
Monster,1,Dododo Buster,6,Warrior/ Effect,0.02
Monster,1,Dododo Warrior,6,Warrior/ Effect,0.02
Monster,1,Gillagillancer,6,Warrior/ Effect,0.02
Monster,1,Dododo Swordsman,8,Warrior/ Effect,0.12
Monster,1,Swordsman of Revealing Light,8,Warrior/ Effect,0.30
Spell,1,Attraffic Control,,,0.02
Spell,2,Blustering Winds,,,0.02
Spell,1,Bound Wand,,,0.02
Spell,1,Cross Attack,,,0.02
Spell,1,Dian Keto the Cure Master,,,0.04
Spell,1,Double Defender,,,0.38
Spell,1,Double or Nothing!,,,0.02
Spell,1,Ego Boost,,,0.02
Spell,1,Full-Force Strike,,,0.05
Spell,1,Gagagaback,,,0.14
Spell,1,Gagagabolt,,,0.02
Spell,1,Gagagadraw,,,0.18
Spell,1,Gagagarevenge,,,0.03
Spell,1,Gagagatag,,,0.05
Spell,1,Gogogo Talisman,,,0.15
Spell,1,Level Lifter,,,0.02
Spell,1,Magnum Shield,,,0.02
Spell,1,Mini-Guts,,,0.03
Spell,2,Monster Reborn,,,0.02
Spell,1,Monster Slots,,,0.02
Spell,1,One-Shot Wand,,,0.06
Spell,1,Rank-Down-Magic Numeron Fall,,,0.25
Spell,1,Rank-Up-Magic Astral Force,,,0.16
