"sep=,"
Card Type,Quantity,Card Name,Level,Type,Min Price (AVG)
Monster,1,Block Spider,1,Insect/ Effect,0.02
Monster,1,Performapal Changeraffe,1,Beast/ Effect/Pendulum,0.03
Monster,1,Performapal Five-Rainbow Magician,1,Spellcaster/ Effect/Pendulum,0.90
Monster,1,Performapal Gongato,1,Beast/ Effect/Pendulum,0.02
Monster,1,Performapal Guitartle,1,Aqua/ Effect/Pendulum,0.16
Monster,1,Performapal Life Swordsman,1,Warrior/ Effect,0.02
Monster,1,Performapal Odd-Eyes Unicorn,1,Beast/ Effect/Pendulum,0.02
Monster,1,Performapal Rain Goat,1,Beast/ Effect,0.02
Monster,1,Performapal Seal Eel,1,Fish/ Effect/Pendulum,0.02
Monster,1,Performapal Trump Witch,1,Spellcaster/ Effect/Pendulum,0.05
Monster,1,Tuning Magician,1,Spellcaster/ Effect/Tuner,0.30
Monster,1,Performapal Cheermole,2,Beast/ Effect/Pendulum,0.14
Monster,1,Performapal Handstandaccoon,2,Beast/ Effect/Pendulum,0.03
Monster,1,Performapal Odd-Eyes Synchron,2,Spellcaster/ Effect/Pendulum/Tuner,3.00
Monster,1,Performapal Spikeagle,2,Winged Beast/ Effect,0.03
Monster,1,Performapal Sword Fish,2,Fish/ Effect,0.02
Monster,1,Performapal Trampolynx,2,Beast/ Effect/Pendulum,0.05
Monster,1,Performapal Trump Girl,2,Spellcaster/ Effect/Pendulum,0.02
Monster,1,Performapal Turn Toad,2,Aqua/ Effect/Pendulum,0.09
Monster,1,Performapal Bit Bite Turtle,3,Reptile/ Effect/Pendulum,0.04
Monster,1,Performapal Extra Slinger,3,Spellcaster/ Effect/Pendulum,0.02
Monster,1,Performapal Fire Mufflerlion,3,Beast/ Effect/Pendulum,0.02
Monster,2,Performapal Flip Hippo,3,Beast/ Effect,0.02
Monster,1,Performapal Friendonkey,3,Beast/ Effect,0.02
Monster,1,Performapal Hip Hippo,3,Beast/ Effect,0.02
Monster,1,Performapal Lizardraw,3,Reptile/ Effect/Pendulum,0.02
Monster,1,Performapal Thunderhino,3,Rock/ Effect,0.02
Monster,1,Performapal Trumpanda,3,Beast/ Effect/Pendulum,0.02
Monster,1,Performapal Whim Witch,3,Spellcaster/ Effect/Pendulum,0.03
Monster,1,Timebreaker Magician,3,Spellcaster/ Effect/Pendulum,0.05
Monster,1,Timegazer Magician,3,Spellcaster/ Effect/Pendulum,0.02
Monster,1,Performapal Bot-Eyes Lizard,4,Reptile/ Effect,0.02
Monster,1,Performapal Bowhopper,4,Insect/ Effect,0.03
Monster,1,Performapal Camelump,4,Beast/ Effect/Pendulum,0.09
Monster,1,Performapal Coin Dragon,4,Dragon/ Effect/Pendulum,0.16
Monster,1,Performapal Fireflux,4,Insect/ Effect/Pendulum,0.02
Monster,1,Performapal Helpprincess,4,Warrior/ Effect,0.02
Monster,1,Performapal Longphone Bull,4,Beast/ Effect,0.02
Monster,1,Performapal Odd-Eyes Minitaurus,4,Beast/Warrior/ Effect/Pendulum,0.19
Monster,1,Performapal Pendulum Sorcerer,4,Spellcaster/ Effect/Pendulum,0.02
Monster,1,Performapal Radish Horse,4,Plant/ Effect/Pendulum,0.02
Monster,1,Performapal Salutiger,4,Beast/Warrior/ Effect,0.02
Monster,1,Performapal Secondonkey,4,Beast/ Effect,0.02
Monster,1,Performapal Silver Claw,4,Beast/ Effect/Pendulum,0.05
Monster,1,Performapal Skeeter Skimmer,4,Insect/ Effect,0.04
Monster,1,Performapal Stamp Turtle,4,Aqua/ Effect,0.05
Monster,1,Performapal Teeter Totter Hopper,4,Insect/ Effect,0.09
Monster,1,Performapal U Go Golem,4,Fiend/ Effect/Pendulum,0.02
Monster,1,Performapal Whip Snake,4,Reptile/ Effect,0.04
Monster,1,Xiangsheng Magician,4,Spellcaster/ Effect/Pendulum,0.05
Monster,1,Acrobatic Magician,5,Spellcaster/ Effect/Pendulum,0.03
Monster,1,Performapal Dag Daggerman,5,Warrior/ Effect/Pendulum,0.08
Monster,1,Performapal Drummerilla,5,Beast/ Effect/Pendulum,0.02
Monster,1,Performapal Gumgumouton,5,Beast/ Effect/Pendulum,0.05
Monster,1,Performapal Odd-Eyes Light Phoenix,5,Winged Beast/ Effect/Pendulum,0.02
Monster,1,Performapal Partnaga,5,Reptile/ Effect/Pendulum,0.06
Monster,1,Performapal Sellshell Crab,5,Aqua/ Effect/Pendulum,0.02
Monster,1,Performapal Springoose,5,Winged Beast/ Effect,0.02
Monster,1,Stargazer Magician,5,Spellcaster/ Effect/Pendulum,0.05
Monster,1,Performapal Bubblebowwow,6,Beast/ Effect/Pendulum,0.02
Monster,1,Performapal Elephammer,6,Beast/ Effect,0.14
Monster,1,Performapal Inflater Tapir,6,Beast/ Effect,0.03
Monster,1,Performapal Kaleidoscorp,6,Insect/ Effect/Pendulum,0.04
Monster,1,Performapal Lebellman,6,Fairy/ Effect/Pendulum,0.02
Monster,1,Performapal Monkeyboard,6,Beast/ Effect/Pendulum,0.18
Monster,1,Performapal Odd-Eyes Seer,6,Spellcaster/ Effect/Pendulum,0.02
Monster,1,Performapal Splashmammoth,6,Beast/ Effect/Pendulum,0.02
Monster,1,Dragoncaller Magician,7,Spellcaster/ Effect/Pendulum,0.14
Monster,1,Odd-Eyes Dragon,7,Dragon/ Effect,0.05
Monster,1,Odd-Eyes Pendulum Dragon,7,Dragon/ Effect/Pendulum,0.03
Monster,1,Odd-Eyes Saber Dragon,7,Dragon/ Effect,0.05
Monster,1,Xiangke Magician,7,Spellcaster/ Effect/Pendulum,0.29
Monster,1,Odd-Eyes Lancer Dragon,8,Dragon/ Effect,0.19
Monster,1,Performapal Laugh Maker,8,Spellcaster/ Effect/Pendulum,0.06
Monster,1,Performapal Odd-Eyes Dissolver,8,Spellcaster/ Effect/Pendulum,0.10
Spell,1,Amazing Pendulum,,,0.03
Spell,1,Draw Muscle,,,0.05
Spell,1,Hippo Carnival,,,0.02
Spell,1,Illusion Balloons,,,0.02
Spell,1,Magical Star Illusion,,,0.04
Spell,1,Mimiclay,,,0.02
Spell,1,Monster Reborn,,,0.02
Spell,1,Mystical Space Typhoon,,,0.02
Spell,1,Pendulum Storm,,,0.02
Spell,1,Performance Hurricane,,,0.02
Spell,1,Performapal Recasting,,,0.09
Spell,1,Polymerization,,,0.02
Spell,1,Shuffle Reborn,,,0.02
Spell,1,Smile Universe,,,0.03
Spell,1,Smile World,,,0.15
Spell,1,Super Hippo Carnival,,,0.02
Spell,1,"The Phantom Knights' Rank-Up-Magic Launch",,,0.04
Spell,1,Wonder Balloons,,,0.02
Trap,1,Booby Trap E,,,0.19
Trap,1,Break Away,,,0.02
Trap,1,Command Performance,,,0.02
Trap,1,Last Minute Cancel,,,0.02
Trap,1,Performapal Call,,,0.02
Trap,1,Performapal Pinch Helper,,,0.02
Trap,1,Performapal Revival,,,0.02
Trap,1,Smile Potion,,,0.02
Trap,2,The Phantom Knights of Lost Vambrace,,,0.02
Trap,1,The Phantom Knights of Wrong Magnetring,,,0.02
Trap,1,Wall of Disruption,,,0.02
Extra Deck,1,The Phantom Knights of Cursed Javelin,2,Warrior/ Effect/ Xyz,0.05
Extra Deck,1,Dark Rebellion Xyz Dragon,4,Dragon/ Effect/ Xyz,0.15
Extra Deck,1,Dark Requiem Xyz Dragon,5,Dragon/ Effect/ Xyz,0.16
Extra Deck,1,Clear Wing Synchro Dragon,7,Dragon/ Effect/ Synchro,0.30
Extra Deck,1,Odd-Eyes Raging Dragon,7,Dragon/ Effect/Pendulum/ Xyz,0.49
Extra Deck,1,Odd-Eyes Rebellion Dragon,7,Dragon/ Effect/Pendulum/ Xyz,0.15
Extra Deck,1,Starving Venemy Dragon,7,Dragon/ Effect/ Fusion/Pendulum,0.11
Extra Deck,1,Beast-Eyes Pendulum Dragon,8,Dragon/ Effect/ Fusion,0.09
Extra Deck,1,Brave-Eyes Pendulum Dragon,8,Dragon/ Effect/ Fusion,16.22
Extra Deck,1,Enlightenment Paladin,8,Spellcaster/ Effect/ Synchro,0.29
Extra Deck,1,Odd-Eyes Wing Dragon,8,Dragon/ Effect/Pendulum/ Synchro,0.28
Extra Deck,1,Performapal Gatlinghoul,8,Fiend/ Effect/ Fusion,0.05
Extra Deck,1,Rune-Eyes Pendulum Dragon,8,Dragon/ Effect/ Fusion,0.02
Extra Deck,1,Nirvana High Paladin,10,Spellcaster/ Effect/Pendulum/ Synchro,0.33
Extra Deck,1,Odd-Eyes Venom Dragon,10,Dragon/ Effect/ Fusion/Pendulum,1.19
