"sep=,"
Card Type,Quantity,Card Name,Level,Type,Min Price (AVG)
Monster,1,Time Maiden,1,Fairy/ Effect,2.45
Monster,1,"Gabrion, the Timelord",10,Fairy/ Effect,0.39
Monster,1,"Hailon, the Timelord",10,Fairy/ Effect,0.10
Monster,1,"Kamion, the Timelord",10,Fairy/ Effect,0.29
Monster,1,"Lazion, the Timelord",10,Fairy/ Effect,0.30
Monster,1,"Metaion, the Timelord",10,Fairy/ Effect,0.35
Monster,1,"Michion, the Timelord",10,Fairy/ Effect,5.89
Monster,1,"Raphion, the Timelord",10,Fairy/ Effect,0.29
Monster,1,"Sadion, the Timelord",10,Fairy/ Effect,0.10
Monster,1,"Sandaion, the Timelord",10,Fairy/ Effect,2.50
Monster,1,"Sephylon, the Ultimate Timelord",10,Fairy/ Effect,0.25
Monster,1,"Zaphion, the Timelord",10,Fairy/ Effect,0.44
Trap,1,Infinite Light,,,0.15
