"sep=,"
Card Type,Quantity,Card Name,Level,Type,Min Price (MARKET)
Monster,2,Supreme King Dragon Darkwurm,4,Dragon/ Effect/Pendulum,0.14
Monster,1,Astrograph Sorcerer,7,Spellcaster/ Effect/Pendulum,0.10
Monster,1,Odd-Eyes Dragon,7,Dragon/ Effect,0.36
Monster,1,Odd-Eyes Pendulum Dragon,7,Dragon/ Effect/Pendulum,0.21
Monster,1,Supreme King Gate Infinity,7,Fiend/ Effect/Pendulum,0.13
Monster,1,Supreme King Gate Zero,7,Fiend/ Effect/Pendulum,0.11
Monster,1,Supreme King Dragon Odd-Eyes,8,Dragon/ Effect/Pendulum,0.08
Spell,1,Smile Universe,,,0.10
Trap,1,Supreme Rage,,,0.10
Extra Deck,1,Dark Rebellion Xyz Dragon,4,Dragon/ Effect/ Xyz,0.68
Extra Deck,1,Supreme King Dragon Dark Rebellion,4,Dragon/ Effect/ Xyz,0.09
Extra Deck,1,Clear Wing Synchro Dragon,7,Dragon/ Effect/ Synchro,0.45
Extra Deck,1,Starving Venemy Dragon,7,Dragon/ Effect/ Fusion/Pendulum,0.21
Extra Deck,1,Supreme King Dragon Clear Wing,8,Dragon/ Effect/ Synchro,0.11
Extra Deck,1,Supreme King Dragon Starving Venom,8,Dragon/ Effect/ Fusion,0.44
Extra Deck,1,Supreme King Z-ARC,12,Dragon/ Effect/ Fusion/Pendulum,0.41
