"sep=,"
Folder Name,Quantity,Trade Quantity,Card Name,Set Code,Set Name,Card Number,Rarity,Condition,Printing,Language,Price Bought,Date Bought,AVG,LOW,TREND
Fusion,1,0,ABC-Dragon Buster,SDKS,Structure Deck: Seto Kaiba,SDKS-EN041,UR,NearMint,1st Edition,Italian,0.00,2023-01-19,1.04,0.19,0.87
Fusion,1,0,"Alligator's Sword Dragon",LDK2,Legendary Decks II,LDK2-ENJ43,C,Mint,Unlimited,Italian,0.00,2023-01-19,0.02,0.02,0.11
Fusion,1,0,"Alligator's Sword Dragon",SBC1,Speed Duel: Streets Of Battle City,SBC1-ENB23,C,Mint,1st Edition,Italian,0.00,2024-02-13,0.04,0.02,0.04
Fusion,1,0,Ambulance Rescueroid,SGX2,Speed Duel Gx: Midterm Paradox,SGX2-ENB23,C,Mint,1st Edition,Italian,0.13,2023-07-13,0.09,0.02,0.06
Fusion,1,0,Archfiend Black Skull Dragon,LDK2,Legendary Decks II,LDK2-ENJ42,C,Mint,Unlimited,Italian,0.00,2023-01-19,0.85,0.02,0.25
Fusion,1,0,Armityle the Chaos Phantasm ,SDSA,Structure Deck: Sacred Beasts,SDSA-EN045,UR,NearMint,1st Edition,Italian,0.85,2023-01-19,1.85,0.15,1.26
Fusion,1,0,A-to-Z-Dragon Buster Cannon,SDKS,Structure Deck: Seto Kaiba,SDKS-EN040,UR,NearMint,1st Edition,Italian,0.00,2023-01-19,0.40,0.02,0.70
Fusion,1,0,Blue-Eyes Ultimate Dragon,LDK2,Legendary Decks II,LDK2-ENK40,UR,Mint,Unlimited,Italian,0.00,2023-01-19,2.81,0.90,1.79
Fusion,1,0,Chimeratech Overdragon,SP14,Star Pack 2014,SP14-EN043,SFR,Poor,1st Edition,Italian,0.00,2023-01-19,0.10,0.02,0.38
Fusion,1,0,Chimeratech Overdragon,SGX1,Speed Duel Gx: Duel Academy Box,SGX1-ENG22,C,Mint,1st Edition,Italian,0.00,2023-01-19,0.05,0.02,0.05
Fusion,1,0,Cyber Blader,SGX1,Speed Duel Gx: Duel Academy Box,SGX1-ENE21,C,Mint,1st Edition,Italian,0.00,2023-01-19,0.20,0.02,0.10
