"sep=,"
Folder Name,Quantity,Trade Quantity,Card Name,Set Code,Set Name,Card Number,Rarity,Condition,Printing,Language,Price Bought,Date Bought,AVG,LOW,TREND
Link,1,0,Abyss Actor - Super Producer,PHHY,Photon Hypernova,PHHY-EN049,C,Mint,1st Edition,Italian,0.00,2024-01-14,0.17,0.02,0.11
Link,1,0,"Artemis, the Magistus Moon Maiden",RA01,25Th Anniversary Rarity Collection,RA01-EN049,UR,Mint,1st Edition,Italian,0.10,2023-11-20,0.09,0.02,0.12
Link,1,0,"Cherubini, Ebon Angel of the Burning Abyss",RA01,25Th Anniversary Rarity Collection,RA01-EN042,SR,Mint,1st Edition,Italian,0.05,2023-11-20,0.15,0.02,0.19
Link,1,0,Clock Lizard,SAST,Savage Strike,SAST-EN047,C,NearMint,1st Edition,Italian,0.02,2024-05-13,0.02,0.02,0.11
Link,1,0,Clock Spartoi,MP19,2019 Gold Sarcophagus Tin Mega Pack,MP19-EN185,C,NearMint,1st Edition,Italian,0.02,2024-05-12,0.02,0.02,0.04
Link,1,0,Code Talker,MGED,Maximum Gold: El Dorado,MGED-EN104,R,NearMint,,Italian,0.25,2023-08-14,,,
Link,1,0,Code Talker Inverted,RA01,25Th Anniversary Rarity Collection,RA01-EN045,SR,Mint,1st Edition,Italian,0.05,2023-11-20,0.06,0.02,0.07
Link,1,0,Decode Talker,DUDE,Duel Devastator,DUDE-EN023,UR,NearMint,1st Edition,Italian,0.00,2022-09-06,0.05,0.02,0.15
Link,1,0,Decode Talker Extended,DUDE,Duel Devastator,DUDE-EN024,UR,NearMint,1st Edition,Italian,0.25,2023-09-02,0.05,0.02,0.06
Link,1,0,Decode Talker Heatsoul,RA01,25Th Anniversary Rarity Collection,RA01-EN048,SR,Mint,1st Edition,Italian,0.05,2023-11-20,0.08,0.02,0.07
Link,1,0,Defender of the Labyrinth,"RIRA
",Rising Rampage,RIRA-EN049,C,NearMint,1st Edition,Italian,0.00,2023-01-20,0.02,0.02,0.08
Link,1,0,Dinowrestler King T Wrextle,MP19,2019 Gold Sarcophagus Tin Mega Pack,MP19-EN187,C,NearMint,1st Edition,Italian,0.02,2024-05-12,0.02,0.02,0.09
Link,1,0,Dinowrestler Terra Parkourio,MP20,2020 Tin Of Lost Memories,MP20-EN069,C,NearMint,1st Edition,Italian,0.02,2024-05-12,0.02,0.02,0.03
Link,1,0,Encode Talker,SDCL,Structure Deck: Cyberse Link,SDCL-EN041,UR,NearMint,1st Edition,Italian,0.35,2023-09-02,0.28,0.02,0.33
Link,1,0,Exceed the Pendulum,AGOV,Age Of Overlord,AGOV-EN045,SR,NearMint,1st Edition,Italian,0.20,2023-11-10,0.33,0.02,0.37
