"sep=,"
Folder Name,Quantity,Trade Quantity,Card Name,Set Code,Set Name,Card Number,Rarity,Condition,Printing,Language,Price Bought,Date Bought,AVG,LOW,TREND
Magie,1,0,7,AST,Ancient Sanctuary,AST-091,SP,Excellent,1st Edition,English,0.00,2023-01-18,0.10,0.02,0.57
Magie,1,0,7 Completed,PSV,"Pharaoh's Servant",PSV-004,C,Excellent,Unlimited,Italian,0.00,2023-01-18,0.11,0.02,0.09
Magie,1,0,A Hero Lives,SGX2,Speed Duel Gx: Midterm Paradox,SGX2-ENA16,C,Mint,1st Edition,Italian,0.00,2023-07-13,0.23,0.02,0.11
Magie,1,0,A Legendary Ocean,SDRE,Realm Of The Sea Emperor Structure Deck,SDRE-EN024,C,Played,1st Edition,Italian,0.00,2023-01-18,0.09,0.02,0.14
Magie,1,0,A Legendary Ocean,SGX2,Speed Duel Gx: Midterm Paradox,SGX2-ENC13,C,Mint,1st Edition,Italian,0.00,2023-07-13,0.09,0.02,0.08
Magie,1,0,A Legendary Ocean,SBC1,Speed Duel: Streets Of Battle City,SBC1-ENI27,C,Mint,1st Edition,Italian,0.00,2024-02-13,0.25,0.02,0.12
Magie,1,0,A Wingbeat of Giant Dragon,LOD,Legacy of Darkness,LOD-044,C,Played,Unlimited,English,0.00,2023-01-18,0.15,0.02,0.14
Magie,1,0,A.I. Love Fusion,MP21,2021 Tin Of Ancient Battles,MP21-EN024,C,NearMint,1st Edition,Italian,0.02,2024-05-12,0.02,0.02,0.03
Magie,1,0,Absolute Powerforce,SDCK,Structure Deck: The Crimson King,SDCK-EN025,C,Mint,1st Edition,Italian,0.24,2023-10-07,0.10,0.02,0.15
Magie,1,0,Acid Rain,SBC1,Speed Duel: Streets Of Battle City,SBC1-ENI14,C,Mint,1st Edition,Italian,0.00,2024-02-13,0.04,0.02,0.14
Magie,1,0,Advanced Dark,SGX1,Speed Duel Gx: Duel Academy Box,SGX1-ENI20,C,Mint,1st Edition,Italian,0.00,2022-09-07,0.03,0.02,0.10
Magie,1,0,Advanced Dark,SDCB,Structure Deck: Legend Of The Crystal Beasts,SDCB-EN028,C,Mint,1st Edition,Italian,0.02,2023-01-24,0.05,0.02,0.05
Magie,1,0,Allure of Darkness,SDGU,Gates Of The Underworld Structure Deck,SDGU-EN027,C,Good,Unlimited,Italian,0.00,2022-09-06,0.23,0.02,0.49
Magie,1,0,Allure of Darkness,SGX3,Speed Duel Gx: Duelists Of Shadows,SGX3-ENI30,C,Mint,1st Edition,Italian,1.20,2023-12-18,0.88,0.05,0.59
Magie,1,0,Allure of Darkness,SBC1,Speed Duel: Streets Of Battle City,SBC1-ENF12,C,Mint,1st Edition,Italian,0.00,2024-02-13,0.44,0.05,0.48
Magie,1,0,Amazoness Fighting Spirit,SGX3,Speed Duel Gx: Duelists Of Shadows,SGX3-END14,C,Mint,1st Edition,Italian,0.08,2023-12-18,0.04,0.04,0.13
Magie,1,0,Amazoness Heirloom,SGX3,Speed Duel Gx: Duelists Of Shadows,SGX3-END12,C,Mint,1st Edition,Italian,0.08,2023-12-18,0.02,0.02,0.13
Magie,1,0,Amazoness Spellcaster,SGX3,Speed Duel Gx: Duelists Of Shadows,SGX3-END15,C,Mint,1st Edition,Italian,0.08,2023-12-18,0.06,0.02,0.17
Magie,1,0,Amazoness Village,SGX3,Speed Duel Gx: Duelists Of Shadows,SGX3-END13,C,Mint,1st Edition,Italian,0.17,2023-12-18,0.12,0.02,0.09
Magie,1,0,Amplifier,SBC1,Speed Duel: Streets Of Battle City,SBC1-ENE14,C,Mint,1st Edition,Italian,0.00,2024-02-13,0.04,0.02,0.09
Magie,1,0,Ancient City - Rainbow Ruins,SGX1,Speed Duel Gx: Duel Academy Box,SGX1-ENF10,C,Mint,1st Edition,Italian,0.00,2022-09-06,0.10,0.02,0.06
Magie,1,0,Ancient City - Rainbow Ruins,SDCB,Structure Deck: Legend Of The Crystal Beasts,SDCB-EN018,C,Mint,1st Edition,Italian,0.02,2023-01-24,0.05,0.02,0.10
Magie,1,0,Ancient Gear Castle,SGX1,Speed Duel Gx: Duel Academy Box,SGX1-END13,C,Mint,1st Edition,Italian,0.00,2022-09-06,0.10,0.02,0.17
Magie,1,0,Ancient Rules,LDK2,Legendary Decks II,LDK2-ENK27,C,NearMint,Unlimited,Italian,0.00,2022-09-06,0.05,0.02,0.14
Magie,1,0,Angel of Blue Tears,MAZE,Maze Of Memories,MAZE-EN029,R,NearMint,1st Edition,Italian,0.02,2023-08-21,0.05,0.02,0.09
Magie,1,0,Anti-Magic Arrows,SBC1,Speed Duel: Streets Of Battle City,SBC1-ENG11,C,Mint,1st Edition,Italian,0.00,2024-02-13,0.06,0.02,0.17
Magie,1,0,Arcana Reading,PHRA,Phantom Rage,PHRA-EN064,C,NearMint,1st Edition,Italian,0.02,2024-05-13,0.12,0.02,0.08
Magie,1,0,Armed Dragon Blitz,MP22,"2022 Tin Of The Pharaoh's Gods",MP22-EN030,C,NearMint,1st Edition,Italian,0.02,2023-09-27,0.02,0.02,0.06
Magie,1,0,Awakening of the Crystal Ultimates,SDCB,Structure Deck: Legend Of The Crystal Beasts,SDCB-EN016,C,Mint,1st Edition,Italian,0.02,2023-01-24,0.13,0.02,0.21
Magie,1,0,Axe of Despair,BP01,Battle Pack: Epic Dawn,BP01-EN067,C,Poor,Unlimited,Italian,0.00,2022-09-25,0.18,0.02,0.27
Magie,1,0,Axe of Despair,SGX3,Speed Duel Gx: Duelists Of Shadows,SGX3-ENE16,C,Mint,1st Edition,Italian,0.11,2023-12-18,0.30,0.02,0.14
Magie,1,0,Backup Squad,SGX3,Speed Duel Gx: Duelists Of Shadows,SGX3-ENG13,C,Mint,1st Edition,Italian,0.09,2023-12-18,0.29,0.02,0.12
Magie,1,0,Barian Untopia,MAZE,Maze Of Memories,MAZE-EN022,R,NearMint,1st Edition,Italian,0.02,2023-08-21,0.21,0.02,0.16
Magie,2,0,Battery Charger,TLM,The Lost Millennium,TLM-EN041,C,Excellent,1st Edition,English,0.00,2023-01-18,0.08,0.02,0.05
Magie,1,0,Battle Royal Mode - Joining,MAZE,Maze Of Memories,MAZE-EN026,R,NearMint,1st Edition,Italian,0.02,2023-08-21,0.02,0.02,0.03
Magie,1,0,Battleguard Echoes,LEDE,Legacy Of Destruction,LEDE-EN082,SR,Mint,,Italian,0.55,2024-05-11,,,
Magie,1,0,Beacon of White,LDK2,Legendary Decks II,LDK2-ENK20,C,NearMint,Unlimited,Italian,0.00,2022-09-06,0.02,0.02,0.05
Magie,1,0,Berserk Scales,SGX1,Speed Duel Gx: Duel Academy Box,SGX1-ENE16,C,NearMint,1st Edition,Italian,0.00,2022-09-06,0.06,0.02,0.04
Magie,1,0,Big Bang Shot,BP01,Battle Pack: Epic Dawn,BP01-EN075,C,LightPlayed,Unlimited,Italian,0.00,2023-01-18,0.02,0.02,0.19
Magie,1,0,Big Wave Small Wave,SBC1,Speed Duel: Streets Of Battle City,SBC1-ENC15,C,Mint,1st Edition,Italian,0.00,2024-02-13,0.04,0.02,0.09
Magie,1,0,Black Illusion Ritual,SS01,Speed Duel Starter Deck: Destiny Masters,SS01-ENC09,C,Mint,1st Edition,Italian,0.20,2022-09-07,0.29,0.02,0.27
Magie,1,0,Black Pendant,YSD,Starter Deck 2006,YSD-EN021,C,Good,1st Edition,Italian,0.00,2023-01-18,0.15,0.02,0.10
Magie,1,0,Blaze Accelerator,SGX1,Speed Duel Gx: Duel Academy Box,SGX1-ENH14,C,Mint,1st Edition,Italian,0.00,2022-09-07,0.12,0.02,0.17
Magie,1,0,Blustering Winds,YS12,Starter Deck Xyz Symphony,YS12-EN019,C,Poor,,Italian,0.00,2023-01-18,,,
Magie,1,0,Bonding - D2O,SGX2,Speed Duel Gx: Midterm Paradox,SGX2-ENC15,C,Mint,1st Edition,Italian,0.00,2023-07-13,0.15,0.02,0.15
Magie,1,0,Bonding - H2O,SGX2,Speed Duel Gx: Midterm Paradox,SGX2-ENC14,C,Mint,1st Edition,Italian,0.00,2023-07-13,0.10,0.02,0.08
Magie,1,0,Boogie Trap,COTD,Code of the Duelist,COTD-EN064,C,NearMint,1st Edition,Italian,0.00,2023-01-18,0.03,0.02,0.02
Magie,1,0,Book of Life,SD2,Structure Deck: Zombie Madness,SD2-EN021,C,Excellent,1st Edition,Italian,0.00,2023-01-18,0.70,0.02,0.34
Magie,1,0,Book of Life,SGX3,Speed Duel Gx: Duelists Of Shadows,SGX3-ENC15,C,Mint,1st Edition,Italian,0.35,2023-12-18,0.35,0.02,0.26
Magie,1,0,Book of Moon,SGX1,Speed Duel Gx: Duel Academy Box,SGX1-ENI15,ScR,Mint,1st Edition,Italian,0.00,2022-09-06,1.45,0.75,1.82
Magie,1,0,Book of Moon,SGX1,Speed Duel Gx: Duel Academy Box,SGX1-ENI15,C,Mint,1st Edition,Italian,0.00,2022-09-07,0.07,0.02,0.35
Magie,1,0,Book of Moon,DB2,Dark Beginning 2,DB2-EN232,C,LightPlayed,Unlimited,English,0.00,2022-09-25,0.45,0.02,0.62
Magie,1,0,Book of Moon,BP01,Battle Pack: Epic Dawn,BP01-EN072,SFR,Played,Unlimited,Italian,0.00,2023-01-18,0.99,0.10,1.07
Magie,1,0,Book of Moon,SGX3,Speed Duel Gx: Duelists Of Shadows,SGX3-ENI31,C,Mint,1st Edition,Italian,1.99,2023-12-18,0.48,0.25,0.70
Magie,1,0,Book of Moon,SBC1,Speed Duel: Streets Of Battle City,SBC1-ENI28,C,Mint,1st Edition,Italian,0.00,2024-02-13,0.89,0.10,0.73
Magie,1,0,Book of Secret Arts,SDY,Starter Deck Yugi,SDY-021,C,Good,Unlimited,Italian,0.00,2023-01-18,0.04,0.02,0.47
Magie,1,0,Book of Taiyou,SBC1,Speed Duel: Streets Of Battle City,SBC1-ENI15,C,Mint,1st Edition,Italian,0.00,2024-02-13,0.32,0.04,0.26
Magie,1,0,Borrel Regenerator,MP19,2019 Gold Sarcophagus Tin Mega Pack,MP19-EN115,C,NearMint,1st Edition,Italian,0.02,2024-05-12,0.02,0.02,0.06
Magie,2,0,Bound Wand,SP14,Star Pack 2014,SP14-EN035,C,LightPlayed,1st Edition,Italian,0.00,2023-01-18,0.02,0.02,0.16
Magie,1,0,Brain Control,EGO1,Egyptian God Deck: Obelisk The Tormentor,EGO1-EN023,C,NearMint,1st Edition,English,0.00,2022-09-06,0.22,0.02,0.19
Magie,1,0,Branded in Central Dogmatika,POTE,Power Of The Elements,POTE-EN058,C,Mint,1st Edition,Italian,0.50,2023-07-19,0.35,0.02,0.12
Magie,1,0,Bujintervention,PRIO,Primal Origin,PRIO-EN064,C,Mint,Unlimited,Italian,0.04,2022-11-08,0.02,0.02,0.07
Magie,1,0,Burning Land,PSV,"Pharaoh's Servant",PSV-061,C,NearMint,Unlimited,Italian,0.00,2023-01-18,0.59,0.02,0.23
Magie,1,0,Burning Soul,SDCK,Structure Deck: The Crimson King,SDCK-EN030,C,Mint,1st Edition,Italian,0.24,2023-10-07,0.07,0.02,0.08
Magie,1,0,Burst Stream of Destruction,LDK2,Legendary Decks II,LDK2-ENK19,C,NearMint,Unlimited,Italian,0.00,2022-09-06,0.13,0.02,0.08
Magie,1,0,Burst Stream of Destruction,SDKS,Structure Deck: Seto Kaiba,SDKS-EN022,C,NearMint,1st Edition,Italian,0.00,2022-09-06,0.05,0.02,0.12
Magie,1,0,Call of the Mummy,SD2,Structure Deck: Zombie Madness,SD2-EN022,C,LightPlayed,1st Edition,Italian,0.00,2023-01-18,0.05,0.02,0.12
Magie,1,0,Call of the Mummy,SGX3,Speed Duel Gx: Duelists Of Shadows,SGX3-ENC14,C,Mint,1st Edition,Italian,0.10,2023-12-18,0.04,0.02,0.12
Magie,3,0,Called by the Grave,RA01,25Th Anniversary Rarity Collection,RA01-EN057,UR,NearMint,1st Edition,Italian,0.28,2023-12-01,0.32,0.05,0.36
Magie,1,0,Card Advance,SGX1,Speed Duel Gx: Duel Academy Box,SGX1-END16,C,Mint,1st Edition,Italian,0.00,2022-09-06,0.25,0.02,0.15
Magie,1,0,Card Destruction,5DS3,"5D's Starter Deck Duelist Toolbox",5DS3-EN021,C,Played,,Italian,0.00,2023-01-18,,,
Magie,1,0,Card Destruction,SDY,Starter Deck Yugi,SDY-042,SR,Poor,Unlimited,Italian,0.00,2023-01-18,0.45,0.02,0.98
Magie,1,0,Cards of the Red Stone,LDK2,Legendary Decks II,LDK2-ENJ25,C,NearMint,Unlimited,Italian,0.00,2022-09-06,0.23,0.02,0.18
