"sep=,"
Folder Name,Quantity,Trade Quantity,Card Name,Set Code,Set Name,Card Number,Rarity,Condition,Printing,Language,Price Bought,Date Bought,AVG,LOW,TREND
Mostri Effetto ,1,0,A-Assault Core,SDKS,Structure Deck: Seto Kaiba,SDKS-EN001,SR,NearMint,1st Edition,Italian,0.00,2022-09-06,0.50,0.02,0.58
Mostri Effetto ,1,0,Absolute King Back Jack,SDCK,Structure Deck: The Crimson King,SDCK-EN016,C,Mint,1st Edition,Italian,0.24,2023-10-07,0.02,0.02,0.06
Mostri Effetto ,1,0,Absorbing Jar,SGX3,Speed Duel Gx: Duelists Of Shadows,SGX3-ENA12,C,Mint,1st Edition,Italian,0.09,2023-12-18,0.04,0.02,0.09
Mostri Effetto ,1,0,Achacha Archer,SP13,Star Pack 2013,SP13-EN004,C,Poor,Unlimited,Italian,0.00,2022-09-06,0.02,0.02,0.06
Mostri Effetto ,1,0,Achacha Chanbara,ABYR,Abyss Rising,ABYR-EN003,C,LightPlayed,Unlimited,Italian,0.00,2022-09-06,0.12,0.02,0.08
Mostri Effetto ,1,0,Acorno,PHSW,Photon Shockwave,PHSW-EN006,C,LightPlayed,Unlimited,Italian,0.00,2022-09-25,0.03,0.02,0.09
Mostri Effetto ,1,0,Air Armor Ninja,SP13,Star Pack 2013,SP13-EN016,C,Played,1st Edition,Italian,0.00,2022-09-06,0.02,0.02,0.10
Mostri Effetto ,1,0,Airknight Parshath,SBC1,Speed Duel: Streets Of Battle City,SBC1-ENF04,C,Mint,1st Edition,Italian,0.00,2024-02-13,0.03,0.02,0.11
Mostri Effetto ,1,0,Airorca,SBC1,Speed Duel: Streets Of Battle City,SBC1-ENC02,C,Mint,1st Edition,Italian,0.00,2024-02-13,0.15,0.02,0.10
Mostri Effetto ,1,0,Aiza the Dragoness of Deranged Devotion,LEDE,Legacy Of Destruction,LEDE-EN088,C,Mint,,Italian,0.55,2024-05-11,,,
Mostri Effetto ,1,0,Alchemist of Black Spells,SBC1,Speed Duel: Streets Of Battle City,SBC1-ENA03,C,Mint,1st Edition,Italian,0.00,2024-02-13,0.09,0.02,0.15
Mostri Effetto ,1,0,Altergeist Kunquery,CIBR,Circuit Break,CIBR-EN015,C,NearMint,1st Edition,Italian,0.00,2023-01-18,0.35,0.02,0.13
Mostri Effetto ,1,0,Altergeist Marionetter,MP18,2018 Mega-Tins Mega Pack,MP18-EN113,UR,NearMint,1st Edition,Italian,0.00,2023-01-18,1.49,0.02,0.64
Mostri Effetto ,1,0,Amarylease,CBLZ,Cosmo Blazer,CBLZ-EN004,C,Played,Unlimited,English,0.00,2022-09-25,0.09,0.02,0.09
Mostri Effetto ,1,0,Amazoness Chain Master,SGX3,Speed Duel Gx: Duelists Of Shadows,SGX3-END05,C,Mint,1st Edition,Italian,0.08,2023-12-18,0.10,0.02,0.13
Mostri Effetto ,1,0,Amazoness Fighter,SGX3,Speed Duel Gx: Duelists Of Shadows,SGX3-END06,C,Mint,1st Edition,Italian,0.15,2023-12-18,0.02,0.02,0.11
Mostri Effetto ,1,0,Amazoness Paladin,SGX3,Speed Duel Gx: Duelists Of Shadows,SGX3-END04,C,Mint,1st Edition,Italian,0.13,2023-12-18,0.06,0.02,0.08
Mostri Effetto ,1,0,Amazoness Queen,SGX3,Speed Duel Gx: Duelists Of Shadows,SGX3-END01,ScR,Mint,1st Edition,Italian,0.00,2023-12-18,1.80,0.95,1.59
Mostri Effetto ,1,0,Amazoness Queen,SGX3,Speed Duel Gx: Duelists Of Shadows,SGX3-END01,C,Mint,1st Edition,Italian,0.21,2023-12-18,0.02,0.02,0.22
Mostri Effetto ,1,0,Amazoness Sage,SGX3,Speed Duel Gx: Duelists Of Shadows,SGX3-END08,C,Mint,1st Edition,Italian,0.18,2023-12-18,0.02,0.02,0.08
Mostri Effetto ,1,0,Amazoness Scouts,SGX3,Speed Duel Gx: Duelists Of Shadows,SGX3-END09,C,Mint,1st Edition,Italian,0.14,2023-12-18,0.06,0.02,0.13
Mostri Effetto ,1,0,Amazoness Swords Woman,SGX3,Speed Duel Gx: Duelists Of Shadows,SGX3-END02,C,Mint,1st Edition,Italian,0.18,2023-12-18,0.39,0.02,0.18
