"sep=,"
Folder Name,Quantity,Trade Quantity,Card Name,Set Code,Set Name,Card Number,Rarity,Condition,Printing,Language,Price Bought,Date Bought,AVG,LOW,TREND
Mostri Normali ,1,0,7 Colored Fish,SBC1,Speed Duel: Streets Of Battle City,SBC1-ENC09,C,Mint,1st Edition,Italian,0.00,2024-02-13,0.04,0.02,0.10
Mostri Normali ,1,0,Alexandrite Dragon,LDK2,Legendary Decks II,LDK2-ENK12,C,NearMint,Unlimited,Italian,0.00,2022-09-06,0.29,0.02,0.14
Mostri Normali ,1,0,Alexandrite Dragon,YS12,Starter Deck Xyz Symphony,YS12-EN001,C,LightPlayed,,Italian,0.00,2022-09-23,,,
Mostri Normali ,1,0,"Alligator's Sword",LDK2,Legendary Decks II,LDK2-ENJ08,C,NearMint,Unlimited,Italian,0.00,2023-11-20,0.26,0.02,0.09
Mostri Normali ,1,0,"Alligator's Sword",SBC1,Speed Duel: Streets Of Battle City,SBC1-ENB08,C,Mint,1st Edition,Italian,0.00,2024-02-13,0.04,0.02,0.06
Mostri Normali ,1,0,Ancient Brain,MRD,Metal Raiders,MRD-082,C,LightPlayed,Unlimited,Italian,0.00,2022-09-24,0.39,0.02,0.36
Mostri Normali ,1,0,Ancient Brain,MRD,Metal Raiders,MRD-082,C,Good,Unlimited,Italian,0.00,2022-09-24,0.39,0.02,0.36
Mostri Normali ,1,0,Ancient Elf,SDY,Starter Deck Yugi,SDY-024,C,Played,Unlimited,Italian,0.00,2022-09-25,0.30,0.02,0.26
Mostri Normali ,1,0,Ancient Lizard Warrior,MRD,Metal Raiders,MRD-050,C,LightPlayed,Unlimited,Italian,0.00,2022-09-25,0.13,0.02,0.27
Mostri Normali ,1,0,Ancient One of the Deep Forest,SRL,Spell Ruler,SRL-018,C,Excellent,Unlimited,Italian,0.00,2022-09-23,0.08,0.02,0.22
Mostri Normali ,1,0,Aqua Madoor,SDP,Starter Deck Pegasus,SDP-008,C,Poor,1st Edition,Italian,0.00,2022-09-23,0.10,0.02,0.14
Mostri Normali ,1,0,Archfiend Soldier,BP01,Battle Pack: Epic Dawn,BP01-EN112,C,LightPlayed,Unlimited,Italian,0.00,2022-11-08,0.30,0.02,0.40
Mostri Normali ,1,0,Archfiend Soldier,SGX3,Speed Duel Gx: Duelists Of Shadows,SGX3-ENE02,C,Mint,1st Edition,Italian,0.03,2023-12-18,0.02,0.02,0.11
Mostri Normali ,1,0,Axe Raider,LDK2,Legendary Decks II,LDK2-ENJ07,C,NearMint,Unlimited,Italian,0.00,2022-09-05,0.05,0.02,0.08
Mostri Normali ,1,0,Baby Dragon,LDK2,Legendary Decks II,LDK2-ENJ09,C,NearMint,Unlimited,Italian,0.00,2022-09-05,0.25,0.02,0.13
Mostri Normali ,1,0,Baby Dragon,SBC1,Speed Duel: Streets Of Battle City,SBC1-ENB09,C,Mint,1st Edition,Italian,0.00,2024-02-13,0.09,0.02,0.08
Mostri Normali ,1,0,Baron of the Fiend Sword,SDY,Starter Deck Yugi,SDY-036,C,Excellent,Unlimited,Italian,0.00,2022-09-25,0.50,0.02,0.48
Mostri Normali ,1,0,Battle Ox,LDK2,Legendary Decks II,LDK2-ENK09,C,NearMint,Unlimited,Italian,0.00,2022-09-06,0.09,0.02,0.11
Mostri Normali ,1,0,Big Koala,SGX1,Speed Duel Gx: Duel Academy Box,SGX1-ENI02,C,Mint,1st Edition,Italian,0.00,2022-09-07,0.04,0.02,0.12
Mostri Normali ,1,0,Blade Skater,SGX1,Speed Duel Gx: Duel Academy Box,SGX1-ENE01,C,Mint,1st Edition,Italian,0.00,2022-09-06,0.13,0.02,0.19
Mostri Normali ,1,0,Blazing Inpachi,IOC,Invasion of Chaos,IOC-061,C,LightPlayed,Unlimited,Italian,0.00,2022-09-24,0.05,0.02,0.18
Mostri Normali ,1,0,Blazing Inpachi,SGX1,Speed Duel Gx: Duel Academy Box,SGX1-ENH02,C,Mint,1st Edition,Italian,0.00,2022-09-07,0.04,0.02,0.08
Mostri Normali ,1,0,Blue-Eyes White Dragon,LDK2,Legendary Decks II,LDK2-ENK01b,C,NearMint,Unlimited,Italian,0.00,2022-09-06,2.66,0.30,2.70
Mostri Normali ,1,0,Blue-Eyes White Dragon,LDK2,Legendary Decks II,LDK2-ENK01a,C,NearMint,Unlimited,Italian,0.00,2022-09-06,0.13,0.02,0.29
Mostri Normali ,1,0,Blue-Eyes White Dragon,LDK2,Legendary Decks II,LDK2-ENK01c,C,NearMint,Unlimited,Italian,0.00,2022-09-06,0.20,0.02,0.27
Mostri Normali ,1,0,Blue-Eyes White Dragon,SDKS,Structure Deck: Seto Kaiba,SDKS-EN009,C,NearMint,1st Edition,Italian,0.00,2022-09-06,0.10,0.09,0.32
Mostri Normali ,1,0,Blue-Eyes White Dragon,SDK,Starter Deck Kaiba,SDK-001,UR,Poor,1st Edition,Italian,0.00,2022-09-06,3.00,0.45,25.54
Mostri Normali ,1,0,Bottom Dweller,MRD,Metal Raiders,MRD-039,C,Poor,Unlimited,Italian,0.00,2022-09-25,0.05,0.02,0.42
Mostri Normali ,1,0,Celtic Guardian,SDY,Starter Deck Yugi,SDY-009,C,Poor,Unlimited,Italian,0.00,2022-09-24,0.14,0.02,0.25
Mostri Normali ,1,0,Charcoal Inpachi,SGX1,Speed Duel Gx: Duel Academy Box,SGX1-ENH03,C,Mint,1st Edition,Italian,0.00,2022-09-07,0.10,0.02,0.11
Mostri Normali ,1,0,Chu-Ske the Mouse Fighter,FET,Flaming Eternity,FET-EN003,C,Played,1st Edition,Italian,0.00,2022-09-23,0.02,0.02,0.10
Mostri Normali ,1,0,Cloudian - Smoke Ball,SGX3,Speed Duel Gx: Duelists Of Shadows,SGX3-ENH08,C,Mint,1st Edition,Italian,0.10,2023-12-18,0.06,0.02,0.09
Mostri Normali ,1,0,Crass Clown,MRD,Metal Raiders,MRD-078,SP,Played,Unlimited,Italian,0.00,2022-09-23,0.08,0.02,0.71
Mostri Normali ,1,0,Curse of Dragon,SS04,Speed Duel Starter Decks: Match Of The Millennium,SS04-ENA03,C,Mint,1st Edition,Italian,0.20,2022-09-07,0.17,0.02,0.17
Mostri Normali ,1,0,Cyber Falcon,PSV,"Pharaoh's Servant",PSV-047,C,Excellent,Unlimited,Italian,0.00,2022-09-23,0.05,0.02,0.15
Mostri Normali ,3,0,Cycroid,CRV,Cybernetic Revolution,CRV-EN001,C,NearMint,Unlimited,Italian,0.00,2022-11-08,0.24,0.02,0.04
