"sep=,"
Folder Name,Quantity,Trade Quantity,Card Name,Set Code,Set Name,Card Number,Rarity,Condition,Printing,Language,Price Bought,Date Bought,AVG,LOW,TREND
Pendulum ,1,0,Abyss Actor - Curtain Raiser,OP21,Ots Tournament Pack 21,OP21-EN015,C,NearMint,Unlimited,Italian,0.05,2024-05-13,0.99,0.02,0.28
Pendulum ,1,0,Astrograph Sorcerer,TAMA,Tactical Masters,TAMA-EN040,R,NearMint,1st Edition,Italian,0.20,2023-08-21,0.06,0.02,0.11
Pendulum ,1,0,Crystal Keeper,SDCB,Structure Deck: Legend Of The Crystal Beasts,SDCB-EN010,C,Mint,1st Edition,Italian,0.02,2023-01-24,0.11,0.02,0.09
Pendulum ,1,0,Crystal Master,SDCB,Structure Deck: Legend Of The Crystal Beasts,SDCB-EN009,C,Mint,1st Edition,Italian,0.02,2023-01-24,0.08,0.02,0.10
Pendulum ,1,0,D/D/D Supersight King Zero Maxwell,MP22,"2022 Tin Of The Pharaoh's Gods",MP22-EN112,UR,NearMint,1st Edition,Italian,0.02,2024-05-13,0.20,0.02,0.08
Pendulum ,1,0,Flash Knight,DUEA,Duelist Alliance,DUEA-EN001,R,NearMint,1st Edition,Italian,0.00,2023-01-20,0.02,0.02,0.17
Pendulum ,1,0,Igknight Gallant,CORE,Clash of Rebellions,CORE-EN031,C,NearMint,1st Edition,Italian,0.00,2023-01-18,0.15,0.02,0.04
Pendulum ,1,0,Igknight Margrave,CORE,Clash of Rebellions,CORE-EN030,C,LightPlayed,1st Edition,Italian,0.00,2023-01-18,0.02,0.02,0.03
Pendulum ,1,0,Majespecter Cat - Nekomata,DOCS,Dimension of Chaos,DOCS-EN025,SR,NearMint,1st Edition,Italian,0.00,2023-01-20,3.99,0.05,1.51
Pendulum ,1,0,Majespecter Toad - Ogama,BOSH,Breakers of Shadow,BOSH-EN030,SR,NearMint,1st Edition,Italian,0.00,2023-01-20,0.36,0.02,0.33
Pendulum ,1,0,Odd-Eyes Pendulum Dragon,SP15,Star Pack 2013 ARC-V,SP15-EN012,SHR,Played,1st Edition,Italian,0.00,2022-09-06,0.19,0.02,0.45
Pendulum ,1,0,Performapal Bit Bite Turtle,BOSH,Breakers of Shadow,BOSH-EN005,C,NearMint,1st Edition,Italian,0.00,2023-01-20,0.04,0.02,0.06
Pendulum ,1,0,Performapal Bubblebowwow,MP17,2017 Mega-Tins Mega Pack,MP17-EN062,C,NearMint,1st Edition,Italian,0.02,2023-12-12,0.44,0.02,0.10
Pendulum ,1,0,Performapal Changeraffe,INOV,Invasion: Vengeance,INOV-EN005,C,NearMint,1st Edition,Italian,0.02,2023-12-12,0.05,0.02,0.04
Pendulum ,1,0,Performapal Drummerilla,SP17,Star Pack Battle Royal,SP17-EN019,SFR,Played,1st Edition,Italian,0.00,2022-09-06,0.21,0.02,0.11
Pendulum ,1,0,Performapal Duelist Extraordinaire,MAZE,Maze Of Memories,MAZE-EN024,R,NearMint,1st Edition,Italian,0.02,2023-08-21,0.02,0.02,0.09
Pendulum ,1,0,Performapal Extra Slinger,MP17,2017 Mega-Tins Mega Pack,MP17-EN060,C,NearMint,1st Edition,Italian,0.02,2023-12-12,0.02,0.02,0.06
