"sep=,"
Folder Name,Quantity,Trade Quantity,Card Name,Set Code,Set Name,Card Number,Rarity,Condition,Printing,Language,Price Bought,Date Bought,AVG,LOW,TREND
Synchro ,1,0,Ancient Fairy Dragon,MAZE,Maze Of Memories,MAZE-EN050,R,NearMint,1st Edition,Italian,0.25,2023-09-27,0.13,0.02,0.15
Synchro ,1,0,Ancient Fairy Dragon,RA01,25Th Anniversary Rarity Collection,RA01-EN030,SR,NearMint,1st Edition,Italian,0.05,2023-11-30,0.07,0.02,0.10
Synchro ,1,0,Azure-Eyes Silver Dragon,LDK2,Legendary Decks II,LDK2-ENK39,C,NearMint,Unlimited,Italian,0.00,2022-09-06,0.15,0.02,0.19
Synchro ,1,0,Baronne de Fleur,RA01,25Th Anniversary Rarity Collection,RA01-EN034,SR,NearMint,1st Edition,English,2.00,2024-01-19,0.64,0.50,1.41
Synchro ,1,0,Battlewasp - Hama the Conquering Bow,BLHR,"Battles of Legend: Hero's Revenge",BLHR-EN038,ScR,NearMint,1st Edition,Italian,0.60,2023-01-18,0.07,0.07,0.22
Synchro ,1,0,Black Rose Dragon,DUDE,Duel Devastator,DUDE-EN010,UR,NearMint,1st Edition,Italian,0.25,2022-09-06,0.56,0.14,0.56
Synchro ,1,0,Borreload Savage Dragon,RA01,25Th Anniversary Rarity Collection,RA01-EN033,SR,Mint,1st Edition,Italian,0.99,2023-11-20,0.12,0.05,0.24
Synchro ,1,0,Clear Wing Synchro Dragon,LED8,Legendary Duelists: Synchro Storm,LED8-EN001,SR,NearMint,1st Edition,Italian,1.00,2023-08-10,0.82,0.04,0.62
Synchro ,1,0,Diabolantis the Menacing Mantis,PHHY,Photon Hypernova,PHHY-EN083,C,Mint,1st Edition,Italian,0.00,2024-01-14,0.02,0.02,0.08
Synchro ,1,0,Drill Warrior,DP10,Duelist Pack - Yusei 3,DP10-EN018,R,Poor,Unlimited,Italian,0.00,2022-09-07,0.28,0.02,1.06
