"sep=,"
Folder Name,Quantity,Trade Quantity,Card Name,Set Code,Set Name,Card Number,Rarity,Condition,Printing,Language,Price Bought,Date Bought,AVG,LOW,TREND
Trappole ,1,0,A Hero Emerges,SGX1,Speed Duel Gx: Duel Academy Box,SGX1-ENA19,C,Mint,1st Edition,Italian,0.00,2022-09-06,0.04,0.02,0.05
Trappole ,1,0,A Rival Appears!,CRV,Cybernetic Revolution,CRV-EN054,C,Good,Unlimited,Italian,0.00,2022-09-24,0.19,0.02,0.07
Trappole ,1,0,A.I. Challenge You,LIOV,Lightning Overdrive,LIOV-EN076,C,NearMint,1st Edition,Italian,0.02,2024-05-12,0.02,0.02,0.06
Trappole ,1,0,Aegis of Gaia,SGX3,Speed Duel Gx: Duelists Of Shadows,SGX3-ENG17,C,Mint,1st Edition,Italian,0.09,2023-12-18,0.04,0.02,0.10
Trappole ,1,0,Aerial Recharge,LTGY,Lord of the Tachyon Galaxy,LTGY-EN073,C,Excellent,1st Edition,Italian,0.00,2022-09-06,0.04,0.02,0.09
Trappole ,1,0,Amaze Attraction Thrill Train,POTE,Power Of The Elements,POTE-EN077,C,Mint,1st Edition,Italian,0.50,2023-07-19,0.20,0.02,0.08
Trappole ,1,0,Amazoness Archers,SGX3,Speed Duel Gx: Duelists Of Shadows,SGX3-END16,C,Mint,1st Edition,Italian,0.08,2023-12-18,0.02,0.02,0.11
Trappole ,1,0,Amazoness Willpower,SGX3,Speed Duel Gx: Duelists Of Shadows,SGX3-END17,C,Mint,1st Edition,Italian,0.21,2023-12-18,0.02,0.02,0.12
Trappole ,1,0,Aqua Chorus,SGX3,Speed Duel Gx: Duelists Of Shadows,SGX3-ENI34,C,Mint,1st Edition,Italian,0.20,2023-12-18,0.04,0.02,0.11
Trappole ,1,0,Aquamirror Cycle,GAOV,Galactic Overlord,GAOV-EN079,C,Good,Unlimited,Italian,0.00,2022-11-08,0.02,0.02,0.07
Trappole ,1,0,"Archfiend's Roar",SGX3,Speed Duel Gx: Duelists Of Shadows,SGX3-ENE18,C,Mint,1st Edition,Italian,0.02,2023-12-18,0.02,0.02,0.11
Trappole ,1,0,Armed Dragon Thunderbolt,MP22,"2022 Tin Of The Pharaoh's Gods",MP22-EN038,C,Mint,1st Edition,Italian,0.02,2023-09-27,0.20,0.02,0.09
Trappole ,1,0,Armor Ninjitsu Art of Freezing,ORCS,Order of Chaos,ORCS-EN068,C,Poor,Unlimited,Italian,0.00,2022-09-06,0.02,0.02,0.14
Trappole ,3,0,Artifact Sanctum,SDBT,Structure Deck: Beware Of Traptrix,SDBT-EN036,C,Mint,1st Edition,Italian,0.00,2024-02-26,0.20,0.02,0.07
Trappole ,1,0,Assault Mode Activate,SDCK,Structure Deck: The Crimson King,SDCK-EN039,C,Mint,1st Edition,Italian,0.24,2023-10-07,0.07,0.02,0.07
Trappole ,1,0,Awakening of the Sacred Beasts,SGX3,Speed Duel Gx: Duelists Of Shadows,SGX3-ENG15,C,Mint,1st Edition,Italian,0.23,2023-12-18,0.05,0.02,0.19
Trappole ,1,0,Backfire,DR2,Dark Revelation 2,DR2-EN158,C,Excellent,Unlimited,English,0.00,2022-11-08,0.09,0.02,0.10
Trappole ,1,0,Backfire,AST,Ancient Sanctuary,AST-046,C,NearMint,1st Edition,Italian,0.03,2024-05-12,0.03,0.02,0.07
Trappole ,1,0,Backup Soldier,LDK2,Legendary Decks II,LDK2-ENY39,C,NearMint,Unlimited,Italian,0.00,2022-09-05,0.10,0.02,0.14
Trappole ,1,0,Backup Soldier,SYE,Starter Deck Yugi Evolution,SYE-047,C,NearMint,Unlimited,English,0.00,2022-11-08,0.05,0.02,0.12
Trappole ,1,0,Bark of Dark Ruler,SGX3,Speed Duel Gx: Duelists Of Shadows,SGX3-ENE20,C,Mint,1st Edition,Italian,0.02,2023-12-18,0.02,0.02,0.04
Trappole ,1,0,Barrel Behind the Door,SBC1,Speed Duel: Streets Of Battle City,SBC1-ENI20,C,Mint,1st Edition,Italian,0.00,2024-02-13,0.04,0.02,0.15
Trappole ,1,0,Battle-Scarred,DR1,Dark Revelation 1,DR1-EN259,C,Good,Unlimited,Italian,0.00,2023-01-18,0.05,0.02,0.20
Trappole ,1,0,Battle-Scarred,SGX3,Speed Duel Gx: Duelists Of Shadows,SGX3-ENE19,C,Mint,1st Edition,Italian,0.02,2023-12-18,0.02,0.02,0.10
Trappole ,1,0,Birthright,SBC1,Speed Duel: Streets Of Battle City,SBC1-ENG18,C,Mint,1st Edition,Italian,0.00,2024-02-13,0.04,0.02,0.13
Trappole ,1,0,Blast with Chain,SBC1,Speed Duel: Streets Of Battle City,SBC1-ENB17,C,Mint,1st Edition,Italian,0.00,2024-02-13,0.15,0.02,0.11
Trappole ,1,0,Blasting the Ruins,IOC,Invasion of Chaos,IOC-048,C,NearMint,Unlimited,Korean,0.00,2023-09-27,0.67,0.02,0.23
Trappole ,1,0,Blind Destruction,DB2,Dark Beginning 2,DB2-EN019,C,Excellent,Unlimited,Italian,0.00,2023-01-18,0.02,0.02,0.10
Trappole ,1,0,Bonding - DHO,SGX2,Speed Duel Gx: Midterm Paradox,SGX2-ENC18,C,Mint,1st Edition,Italian,0.00,2023-07-13,0.15,0.02,0.16
Trappole ,6,0,Bottomless Trap Hole,SDBT,Structure Deck: Beware Of Traptrix,SDBT-EN029,C,Mint,1st Edition,Italian,0.00,2024-02-26,0.12,0.02,0.16
Trappole ,1,0,Bujinfidel,JOTL,Judgment of the Light,JOTL-EN075,C,Mint,Unlimited,Italian,0.00,2022-09-23,0.02,0.02,0.02
Trappole ,1,0,Bujinfidel,JOTL,Judgment of the Light,JOTL-EN075,C,LightPlayed,1st Edition,Italian,0.00,2022-09-23,0.02,0.02,0.02
Trappole ,1,0,Bujinfidel,JOTL,Judgment of the Light,JOTL-EN075,C,Excellent,1st Edition,Italian,0.00,2022-09-23,0.02,0.02,0.02
Trappole ,1,0,Burst Breath,LDK2,Legendary Decks II,LDK2-ENJ39,C,NearMint,Unlimited,Italian,0.00,2022-09-06,0.10,0.02,0.09
Trappole ,1,0,Butterflyoke,GAOV,Galactic Overlord,GAOV-EN070,C,Poor,Unlimited,Italian,0.00,2022-11-08,0.02,0.02,0.04
Trappole ,1,0,Call of the Haunted,EGO1,Egyptian God Deck: Obelisk The Tormentor,EGO1-EN033,C,NearMint,1st Edition,English,0.00,2022-09-06,0.09,0.02,0.07
Trappole ,1,0,Call of the Haunted,SDKS,Structure Deck: Seto Kaiba,SDKS-EN037,C,NearMint,1st Edition,Italian,0.00,2022-09-06,0.05,0.02,0.15
Trappole ,1,0,Call of the Haunted,LDK2,Legendary Decks II,LDK2-ENJ37,C,NearMint,Unlimited,Italian,0.00,2022-09-06,0.03,0.02,0.09
Trappole ,1,0,Call of the Haunted,DP04,Duelist Pack - Zane Truesdale,DP04-EN025,C,NearMint,Unlimited,Italian,0.00,2023-01-29,0.04,0.02,0.16
Trappole ,1,0,Castle Walls,SDY,Starter Deck Yugi,SDY-049,C,LightPlayed,Unlimited,Italian,0.00,2022-09-24,0.30,0.02,0.30
Trappole ,1,0,Castle Walls,SDP,Starter Deck Pegasus,SDP-043,C,Poor,Unlimited,English,0.00,2022-11-08,0.04,0.02,0.12
Trappole ,1,0,Ceasefire,SD1,"Structure Deck Dragon's Roar",SD1-EN022,C,Played,1st Edition,Italian,0.00,2023-01-18,0.20,0.02,0.19
Trappole ,1,0,Cemetary Bomb,SOD,Soul of the Duelist,SOD-EN059,SP,LightPlayed,Unlimited,English,0.00,2023-01-18,0.20,0.02,0.06
Trappole ,1,0,Chain Ignition,SHSP,Shadow Specters,SHSP-EN077,C,Mint,1st Edition,Italian,0.33,2023-07-20,0.04,0.02,0.05
Trappole ,1,0,Chaos Trap Hole,SGX3,Speed Duel Gx: Duelists Of Shadows,SGX3-ENI35,C,Mint,1st Edition,Italian,0.16,2023-12-18,0.02,0.02,0.09
Trappole ,1,0,Chthonian Polymer,DP2,Duelist Pack: Chazz Princeton,DP2-EN029,C,Excellent,1st Edition,Italian,0.00,2023-01-18,0.04,0.02,0.11
Trappole ,1,0,Cloning,EGO1,Egyptian God Deck: Obelisk The Tormentor,EGO1-EN034,C,NearMint,1st Edition,English,0.00,2022-09-06,0.05,0.02,0.05
Trappole ,1,0,Cloning,SDKS,Structure Deck: Seto Kaiba,SDKS-EN035,C,NearMint,1st Edition,Italian,0.00,2022-09-06,0.03,0.02,0.10
Trappole ,1,0,Commander of Swords,GAOV,Galactic Overlord,GAOV-EN068,C,Poor,Unlimited,Italian,0.00,2023-01-18,0.02,0.02,0.03
Trappole ,1,0,Conscription,CRV,Cybernetic Revolution,CRV-EN058,C,Excellent,Unlimited,Italian,0.00,2022-11-08,0.02,0.02,0.09
Trappole ,1,0,Counter Gem,SDCB,Structure Deck: Legend Of The Crystal Beasts,SDCB-EN038,C,Mint,1st Edition,Italian,0.02,2023-01-24,0.05,0.02,0.07
Trappole ,1,0,Covering Fire,SGX1,Speed Duel Gx: Duel Academy Box,SGX1-ENH18,C,Mint,1st Edition,Italian,0.00,2022-09-07,0.06,0.02,0.06
Trappole ,1,0,Crush Card Virus,SDKS,Structure Deck: Seto Kaiba,SDKS-EN031,C,NearMint,1st Edition,Italian,0.00,2022-09-06,0.78,0.02,0.21
Trappole ,1,0,Crystal Boon,SDCB,Structure Deck: Legend Of The Crystal Beasts,SDCB-EN032,C,Mint,1st Edition,Italian,0.02,2023-01-24,0.05,0.02,0.02
Trappole ,1,0,Crystal Brilliance,SDCB,Structure Deck: Legend Of The Crystal Beasts,SDCB-EN034,C,Mint,1st Edition,Italian,0.02,2023-01-24,0.05,0.02,0.05
Trappole ,1,0,Crystal Conclave,SGX1,Speed Duel Gx: Duel Academy Box,SGX1-ENF20,C,Mint,1st Edition,Italian,0.00,2022-09-06,0.25,0.02,0.09
Trappole ,1,0,Crystal Conclave,SDCB,Structure Deck: Legend Of The Crystal Beasts,SDCB-EN036,C,Mint,1st Edition,Italian,0.02,2023-01-24,0.05,0.02,0.04
Trappole ,1,0,Crystal Miracle,SDCB,Structure Deck: Legend Of The Crystal Beasts,SDCB-EN033,C,Mint,1st Edition,Italian,0.02,2023-01-24,0.06,0.02,0.16
Trappole ,1,0,Crystal Pair,SDCB,Structure Deck: Legend Of The Crystal Beasts,SDCB-EN035,C,Mint,1st Edition,Italian,0.02,2023-01-24,0.05,0.02,0.06
Trappole ,1,0,Crystal Raigeki,SGX1,Speed Duel Gx: Duel Academy Box,SGX1-ENF16,C,Mint,1st Edition,Italian,0.00,2022-09-06,0.10,0.02,0.12
Trappole ,1,0,Curse of Aging,SGX3,Speed Duel Gx: Duelists Of Shadows,SGX3-ENF20,C,Mint,1st Edition,Italian,0.20,2023-12-18,0.09,0.02,0.07
Trappole ,1,0,Curse of Anubis,LDK2,Legendary Decks II,LDK2-ENJ40,C,NearMint,Unlimited,Italian,0.00,2022-09-06,0.13,0.02,0.09
Trappole ,1,0,Cursed Seal of the Forbidden Spell,SGX2,Speed Duel Gx: Midterm Paradox,SGX2-ENC17,C,Mint,1st Edition,Italian,0.00,2023-07-13,0.33,0.02,0.21
Trappole ,1,0,Cyber Network,SGX1,Speed Duel Gx: Duel Academy Box,SGX1-ENG20,C,Mint,1st Edition,Italian,0.00,2022-09-06,0.50,0.02,0.12
Trappole ,1,0,Cyber Shadow Gardna,SGX1,Speed Duel Gx: Duel Academy Box,SGX1-ENG17,C,Mint,1st Edition,Italian,0.00,2022-09-06,0.05,0.02,0.13
Trappole ,1,0,Cynet Circuit,CYAC,Cyberstorm Access,CYAC-EN069,C,NearMint,1st Edition,Italian,0.02,2023-08-21,0.06,0.02,0.06
Trappole ,1,0,D - Chain,SGX1,Speed Duel Gx: Duel Academy Box,SGX1-ENB18,C,Mint,1st Edition,Italian,0.00,2022-09-06,0.20,0.02,0.12
Trappole ,1,0,D - Counter,SGX1,Speed Duel Gx: Duel Academy Box,SGX1-ENB19,C,Mint,1st Edition,Italian,0.00,2022-09-06,0.09,0.02,0.14
Trappole ,1,0,Damage Condenser,SGX1,Speed Duel Gx: Duel Academy Box,SGX1-END19,C,NearMint,1st Edition,Italian,0.00,2022-09-06,0.03,0.02,0.07
Trappole ,1,0,Dark Bribe,YS13,Super Starter V For Victory,YS13-EN040,C,Poor,1st Edition,Italian,0.00,2023-01-18,0.11,0.02,0.39
Trappole ,1,0,Dark Bribe,YS13,Super Starter V For Victory,YS13-EN040,C,Excellent,1st Edition,Italian,0.00,2023-01-18,0.11,0.02,0.39
Trappole ,1,0,Dark Deal,SGX3,Speed Duel Gx: Duelists Of Shadows,SGX3-ENA19,C,Mint,1st Edition,Italian,0.29,2023-12-18,0.02,0.02,0.09
Trappole ,1,0,Dark Renewal,SBC1,Speed Duel: Streets Of Battle City,SBC1-ENG19,C,Mint,1st Edition,Italian,0.00,2024-02-13,0.06,0.02,0.15
Trappole ,1,0,Dark Scheme,SDGU,Gates Of The Underworld Structure Deck,SDGU-EN031,C,Excellent,Unlimited,Italian,0.00,2022-09-06,0.03,0.02,0.15
Trappole ,1,0,Desert Sunlight,AST,Ancient Sanctuary,AST-106,C,Good,Unlimited,Italian,0.00,2022-09-23,0.13,0.02,0.14
Trappole ,1,0,Desert Sunlight,DR2,Dark Revelation 2,DR2-EN219,C,Excellent,Unlimited,English,0.00,2022-09-23,0.19,0.02,0.22
Trappole ,1,0,Destiny Signal,SGX1,Speed Duel Gx: Duel Academy Box,SGX1-ENB17,C,Mint,1st Edition,Italian,0.00,2022-09-06,0.10,0.02,0.11
Trappole ,1,0,Destruction of Destiny,DP05,Duelist Pack: Aster Phoenix,DP05-EN023,C,Excellent,Unlimited,Italian,0.00,2022-11-08,0.02,0.02,0.05
Trappole ,1,0,Dice Try!,LODT,Light of Destruction,LODT-EN080,C,Played,Unlimited,Italian,0.00,2022-09-23,0.05,0.02,0.03
Trappole ,1,0,Dice Try!,LODT,Light of Destruction,LODT-EN080,C,Good,1st Edition,Italian,0.00,2022-09-23,0.05,0.02,0.03
Trappole ,1,0,Different Dimension Encounter,SGX3,Speed Duel Gx: Duelists Of Shadows,SGX3-ENF18,C,Mint,1st Edition,Italian,0.33,2023-12-18,0.02,0.02,0.11
Trappole ,1,0,Dimension Gate,CBLZ,Cosmo Blazer,CBLZ-EN068,C,Played,Unlimited,Italian,0.00,2023-01-18,0.15,0.02,0.12
Trappole ,1,0,DNA Surgery,SBC1,Speed Duel: Streets Of Battle City,SBC1-END18,C,Mint,1st Edition,Italian,0.00,2024-02-13,0.10,0.05,0.19
Trappole ,1,0,Doble Passe,SGX1,Speed Duel Gx: Duel Academy Box,SGX1-ENE19,C,NearMint,1st Edition,Italian,0.00,2022-09-06,0.02,0.02,0.10
Trappole ,1,0,Dora of Fate,DR2,Dark Revelation 2,DR2-EN215,C,Excellent,Unlimited,English,0.00,2023-01-18,0.02,0.02,0.15
Trappole ,1,0,Double Dai,LEDE,Legacy Of Destruction,LEDE-EN083,C,Mint,,Italian,0.55,2024-05-11,,,
Trappole ,1,0,Double Payback,GAOV,Galactic Overlord,GAOV-EN080,SP,Poor,1st Edition,Italian,0.00,2023-01-18,0.02,0.02,0.14
Trappole ,2,0,"Dragon's Rage",SD1,"Structure Deck Dragon's Roar",SD1-EN024,C,LightPlayed,1st Edition,Italian,0.00,2022-09-24,0.10,0.02,0.05
Trappole ,1,0,"Dragon's Rage",SGX3,Speed Duel Gx: Duelists Of Shadows,SGX3-ENB17,C,Mint,1st Edition,Italian,0.08,2023-12-18,0.04,0.02,0.04
Trappole ,1,0,Draining Shield,YS12,Starter Deck Xyz Symphony,YS12-EN035,C,Poor,1st Edition,Italian,0.00,2022-11-08,0.50,0.02,0.27
Trappole ,1,0,Draining Shield,SBC1,Speed Duel: Streets Of Battle City,SBC1-ENE20,C,Mint,1st Edition,Italian,0.00,2024-02-13,0.10,0.02,0.13
Trappole ,1,0,Dramatic Rescue,SGX3,Speed Duel Gx: Duelists Of Shadows,SGX3-END18,C,Mint,1st Edition,Italian,0.08,2023-12-18,0.02,0.02,0.13
Trappole ,1,0,Draw Discharge,MP20,2020 Tin Of Lost Memories,MP20-EN132,C,NearMint,1st Edition,Italian,0.02,2024-05-12,0.02,0.02,0.04
Trappole ,2,0,Driving Snow,PSV,"Pharaoh's Servant",PSV-018,C,Good,Unlimited,Italian,0.00,2022-09-25,0.49,0.02,0.14
Trappole ,1,0,Drop Off,DB2,Dark Beginning 2,DB2-EN205,C,Excellent,Unlimited,Italian,0.00,2023-01-18,0.43,0.02,0.39
