"sep=,"
Folder Name,Quantity,Trade Quantity,Card Name,Set Code,Set Name,Card Number,Rarity,Condition,Printing,Language,Price Bought,Date Bought,AVG,LOW,TREND
Xyz,1,0,Baby Tiragon,NUMH,Number Hunters,NUMH-EN051,SR,Poor,Unlimited,Italian,0.00,2023-01-19,0.22,0.02,0.18
Xyz,1,0,Battlecruiser Dianthus,NUMH,Number Hunters,NUMH-EN043,SR,Poor,1st Edition,Italian,0.00,2023-01-19,0.30,0.02,0.20
Xyz,1,0,Black Ray Lancer,SP13,Star Pack 2013,SP13-EN029,SFR,Poor,Unlimited,Italian,0.00,2023-01-19,0.05,0.02,0.11
Xyz,1,0,CXyz Mechquipped Djinn Angeneral,NUMH,Number Hunters,NUMH-EN036,SR,Played,1st Edition,Italian,0.00,2023-01-19,0.40,0.02,0.10
Xyz,1,0,CXyz Simon the Great Moral Leader,NUMH,Number Hunters,NUMH-EN040,ScR,Poor,1st Edition,Italian,0.00,2023-01-19,0.75,0.02,0.43
Xyz,1,0,CXyz Skypalace Babylon,NUMH,Number Hunters,NUMH-EN046,ScR,Poor,1st Edition,Italian,0.00,2023-01-19,0.99,0.02,0.53
Xyz,1,0,Dark Rebellion Xyz Dragon,CT12,2015 Mega-Tins,CT12-EN002,PlScR,NearMint,,Italian,0.75,2023-01-19,,,
Xyz,1,0,Downerd Magician,RA01,25Th Anniversary Rarity Collection,RA01-EN035,SR,Mint,1st Edition,Italian,0.10,2023-11-20,0.08,0.02,0.15
Xyz,2,0,Downerd Magician,RA01,25Th Anniversary Rarity Collection,RA01-EN035,UR,Mint,1st Edition,Italian,0.04,2023-11-30,0.14,0.02,0.17
Xyz,1,0,Gagaga Samurai,LED6,Legendary Duelists: Magical Hero,LED6-EN040,C,NearMint,1st Edition,Italian,0.10,2023-01-19,0.02,0.02,0.06
Xyz,1,0,Galaxy-Eyes Full Armor Photon Dragon,RA01,25Th Anniversary Rarity Collection,RA01-EN037,UR,Mint,1st Edition,Italian,0.10,2023-11-20,0.19,0.02,0.09
